run,seed,test_r2
90,131,0.1750866821264709
92,133,0.1322321427165743
93,134,0.1044364283812565
57,98,0.1018283059800037
30,71,0.0947370023948307
39,80,0.0900993151815182
33,74,0.0863880930411379
32,73,0.0752485132736223
38,79,0.0747084811487367
74,115,0.0681417120387176
