dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI206,regular,1,42,1.9933333333333334,2.6661332799893307,0.01694184397163112
SI206,pca10,1,42,2.0271794871794873,2.6770544471154327,0.00887163120567358
SI206,regular,2,43,2.067179487179487,2.516053075140323,-0.3508313131313132
SI206,pca10,2,43,1.991794871794872,2.561993414591508,-0.40061102693602657
SI206,regular,3,44,2.908974358974359,3.967606115858565,-0.1678581260364842
SI206,pca10,3,44,3.4497435897435897,4.534992155026716,-0.5257594381036002
SI206,regular,4,45,1.928974358974359,2.9082492457170304,-0.5206249054373526
SI206,pca10,4,45,2.0566666666666666,3.078958504118799,-0.7043803664302604
SI206,regular,5,46,1.8489743589743588,2.433844168367695,-1.1390768518518524
SI206,pca10,5,46,1.7576923076923079,2.5469443733669648,-1.3425009259259264
SI206,regular,6,47,1.5338461538461536,2.1155533110668263,-0.3603788169464426
SI206,pca10,6,47,1.43974358974359,2.3395501430392276,-0.6637061750599516
SI206,regular,7,48,2.2051282051282053,3.3738529548105323,-0.2655969444444446
SI206,pca10,7,48,2.4325641025641027,3.5520514116168465,-0.4028188815789475
SI206,regular,8,49,2.771794871794872,3.4024852656412756,0.09838842805939574
SI206,pca10,8,49,3.225384615384615,4.229598089653436,-0.3932375576036866
SI206,regular,9,50,2.583846153846154,3.5341028431531107,-0.31924388194444386
SI206,pca10,9,50,2.278205128205128,2.988651040642759,0.056553798611110984
SI206,regular,10,51,2.276410256410257,2.8788287029371338,-0.18095585534944725
SI206,pca10,10,51,3.0089743589743594,3.524097387014495,-0.7696925332583848
SI206,regular,11,52,3.1541025641025646,4.15645178643894,-0.6607846732397928
SI206,pca10,11,52,2.7646153846153845,3.5062964121583517,-0.1818574263683479
SI206,regular,12,53,2.803846153846154,3.480801680917823,-0.03101746111670578
SI206,pca10,12,53,2.8435897435897437,3.8305019643834277,-0.2485870873895042
SI206,regular,13,54,1.9899999999999998,2.9394654726594878,0.05547394710363662
SI206,pca10,13,54,1.9569230769230768,3.2631875769549565,-0.16402227971826933
SI206,regular,14,55,2.654871794871795,3.268891706902049,-0.4042576637290476
SI206,pca10,14,55,2.2907692307692304,2.903891582822321,-0.10817036461033336
SI206,regular,15,56,3.102051282051282,3.9087136931531243,0.052828605200945344
SI206,pca10,15,56,3.341025641025641,4.027349874116602,-0.005540515203391605
SI206,regular,16,57,1.363333333333333,1.851640298457504,0.05630515743756792
SI206,pca10,16,57,1.5728205128205128,2.339220046799879,-0.5061231632283754
SI206,regular,17,58,2.474615384615384,3.1821866641999437,0.1002383163921019
SI206,pca10,17,58,2.715128205128205,3.626488612710601,-0.16855411262998032
SI206,regular,18,59,3.5071794871794872,4.62074992988475,-0.649165793215519
SI206,pca10,18,59,3.4615384615384617,4.217022078869782,-0.37357107454803984
SI206,regular,19,60,4.018461538461538,5.034019650950307,-0.8833284080914692
SI206,pca10,19,60,3.7471794871794875,4.687693654119454,-0.6331071826443861
SI206,regular,20,61,3.0448717948717947,3.8991383005966185,-0.22583694338422378
SI206,pca10,20,61,3.4617948717948717,4.450230283103289,-0.5968362966497034
SI206,regular,21,62,2.107179487179487,2.9519988881938004,-0.7700916666666664
SI206,pca10,21,62,1.8766666666666667,2.776342518094224,-0.565703298611111
SI206,regular,22,63,2.3433333333333333,2.960620603686727,-0.25536556497175145
SI206,pca10,22,63,2.1441025641025635,3.086888733220239,-0.3647297175141244
SI206,regular,23,64,3.2574358974358977,4.102736422663068,-0.05671745913818693
SI206,pca10,23,64,3.4897435897435902,4.587580409877741,-0.32123183093940866
SI206,regular,24,65,2.6912820512820512,3.426837768850036,-0.09646612645794961
SI206,pca10,24,65,2.57,3.3614866216738553,-0.05504480662983435
SI206,regular,25,66,2.9151282051282053,3.643015445817041,-0.17183589341692773
SI206,pca10,25,66,2.684615384615385,3.665181983798209,-0.18613974225008723
SI206,regular,26,67,3.6223076923076927,4.5509507788431405,-0.714096403308303
SI206,pca10,26,67,3.4028205128205125,4.324410833839572,-0.5476931494177824
SI206,regular,27,68,2.9292307692307697,3.836720688429853,-0.08730416666666674
SI206,pca10,27,68,3.05025641025641,3.7912264889608336,-0.06167146464646445
SI206,regular,28,69,2.7576923076923077,3.420826735681823,0.053757230196703976
SI206,pca10,28,69,3.2717948717948717,4.191587423423866,-0.4206839553429027
SI206,regular,29,70,2.7512820512820513,3.3466063943903475,-0.3366962335216579
SI206,pca10,29,70,3.2664102564102566,4.170158229386465,-1.0755276286880102
SI206,regular,30,71,3.4512820512820515,4.2903475443467345,-0.12710031400966204
SI206,pca10,30,71,4.369230769230769,5.427278520285478,-0.8036067069243151
SI206,regular,31,72,2.5112820512820515,3.234387087078451,-0.17550060579196214
SI206,pca10,31,72,2.574102564102564,3.4757215324217463,-0.3574655511229312
SI206,regular,32,73,3.164615384615384,3.954717403758421,-0.1905966066066067
SI206,pca10,32,73,2.964615384615385,3.937807103747565,-0.1804364364364366
SI206,regular,33,74,3.7453846153846158,4.674914049212174,-0.4518336521663173
SI206,pca10,33,74,3.7933333333333326,4.875020578523299,-0.5787832285115302
SI206,regular,34,75,3.37948717948718,4.036084249415028,-0.2852502126776635
SI206,pca10,34,75,3.3638461538461537,4.381682637417129,-0.5147783016910465
SI206,regular,35,76,3.602051282051282,4.898573662978228,-0.5372737090388342
SI206,pca10,35,76,3.3400000000000003,4.446442350087267,-0.2665934714851321
SI206,regular,36,77,3.00948717948718,3.860379393249977,-0.1458268476392679
SI206,pca10,36,77,3.322564102564103,4.205259832211353,-0.3597049742189866
SI206,regular,37,78,3.065897435897436,4.191126258685046,-0.45233666557947383
SI206,pca10,37,78,3.393076923076923,4.652192296368795,-0.7894564307458141
SI206,regular,38,79,2.7941025641025643,3.401272386351003,-0.1500602941176472
SI206,pca10,38,79,2.484871794871794,3.2224186648047537,-0.032289980392157025
SI206,regular,39,80,3.065384615384616,4.223606531952537,-0.49690467284563633
SI206,pca10,39,80,2.644358974358975,3.7145943400472565,-0.15784393136930386
SI206,regular,40,81,2.5428205128205126,3.582587161428284,-0.3642159119496857
SI206,pca10,40,81,2.93076923076923,4.144292130745281,-0.8255355835080362
SI206,regular,41,82,2.658717948717949,3.636702154989128,-0.9779883480825964
SI206,pca10,41,82,2.5128205128205128,3.3525420894506994,-0.6809575221238939
SI206,regular,42,83,1.9743589743589742,2.6660335786960827,-0.016249764993419902
SI206,pca10,42,83,2.320512820512821,2.9012555490138685,-0.20348642601992895
SI206,regular,43,84,2.8482051282051284,3.8699711785847866,-0.6499728813559322
SI206,pca10,43,84,2.7987179487179485,3.8001467582996558,-0.5909703389830505
SI206,regular,44,85,2.7564102564102564,3.134555953502988,-0.17266916195856896
SI206,pca10,44,85,2.826923076923077,3.2767663077945364,-0.28148754708097967
SI206,regular,45,86,2.548205128205128,3.051984082135233,-0.47118556593977146
SI206,pca10,45,86,2.546923076923077,3.237433694004701,-0.6554066355140185
SI206,regular,46,87,3.6315384615384616,4.3109208368443115,-0.31520205192629813
SI206,pca10,46,87,3.6064102564102565,4.317104026947599,-0.3189775683975431
SI206,regular,47,88,3.6446153846153853,4.040797078008376,-0.23630776583034696
SI206,pca10,47,88,3.2007692307692306,3.8350008636154986,-0.11358519016328161
SI206,regular,48,89,2.82025641025641,3.729874427894758,-0.4549020970847082
SI206,pca10,48,89,2.655128205128205,3.3772194348474174,-0.19278977585258494
SI206,regular,49,90,2.448717948717949,3.2672764998536206,-0.042827270391778915
SI206,pca10,49,90,2.958717948717948,3.774035564809166,-0.3914018561335899
SI206,regular,50,91,2.4043589743589746,3.2652517867339466,-0.11088526510480912
SI206,pca10,50,91,2.2358974358974355,3.2696004617517382,-0.11384619810933039
SI206,regular,51,92,1.107179487179487,1.261093678105344,0.21412170240415862
SI206,pca10,51,92,1.4376923076923078,1.7124978008595275,-0.44917436647173514
SI206,regular,52,93,2.2133333333333334,3.1403511154336115,-0.9424767676767676
SI206,pca10,52,93,1.926153846153846,2.8662185099898694,-0.6181471380471382
SI206,regular,53,94,2.3402564102564103,3.5383456224045924,-0.7118619471413157
SI206,pca10,53,94,2.5353846153846153,3.997675179101828,-1.1851599964041708
SI206,regular,54,95,2.76,3.3753186617527042,0.02066167062280999
SI206,pca10,54,95,2.822820512820513,3.833717595010175,-0.26340743189781857
SI206,regular,55,96,2.0776923076923075,2.7525004948880527,-0.056425550055005935
SI206,pca10,55,96,2.1028205128205126,2.667243367127788,0.008005253025302195
SI206,regular,56,97,2.266923076923077,2.989779027366175,0.049903403214535236
SI206,pca10,56,97,2.6046153846153848,3.7176971090813455,-0.4690534171907754
SI206,regular,57,98,2.2399999999999998,3.2497363469651392,-0.13390907807426244
SI206,pca10,57,98,2.39051282051282,3.656886607227473,-0.4358364181843848
SI206,regular,58,99,2.8784615384615386,3.6650772779017156,-0.12606237874779525
SI206,pca10,58,99,2.6782051282051285,3.5979655932563346,-0.0852010085978836
SI206,regular,59,100,2.6853846153846157,3.523930522128143,0.02929852502826591
SI206,pca10,59,100,3.106410256410257,3.7793122197961964,-0.11649442388734688
SI206,regular,60,101,2.1094871794871795,3.0700687650641023,-0.08359146636432357
SI206,pca10,60,101,2.321282051282051,3.477273099014256,-0.3901029705215422
SI206,regular,61,102,2.9112820512820514,3.818784654745046,-0.03465434275585433
