dataset,run,seed,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
SI216,1,42,2.794583333333333,0.6367257280633299,3.232983556018398,0.7002585584888321,-0.4247021500991119,0.38226518851558183,1.967878787878788,2.4290630857899664,0.32773818790541964
SI216,2,43,2.551083333333333,0.7469902851517622,3.0625616053406963,0.6346915455065257,-0.23112844296234192,0.3264893838490297,2.113030303030303,2.579568713462533,0.2418501464741578
SI216,3,44,2.7385833333333336,0.43299101863921186,3.167292726752973,0.4403292388807196,-0.27387634552750373,0.1922908054019424,2.0863636363636364,2.5752589356914357,0.24438136639464314
SI216,4,45,2.84575,0.7366178056948303,3.247014859599792,0.713870359678165,-0.3561059279013131,0.19850828001975013,2.229090909090909,2.680049373885609,0.18163613726721084
SI216,5,46,2.6785,0.5054832396386211,3.074881451109632,0.6644535394339975,-0.26150856473171624,0.3538398331084609,1.927575757575758,2.411000253467888,0.3376990688428543
SI216,6,47,2.710666666666667,0.32915544284662174,3.1716647114620633,0.44261239910789324,-0.6850567609217517,1.0879564882304575,2.1509090909090913,2.558034283182967,0.2544554927809164
SI216,7,48,2.7623333333333333,0.633431549401968,3.2025055319675473,0.7537789876095639,-0.5166037899670112,0.38048712287470293,2.176060606060606,2.6212004729115854,0.21718105252144804
SI216,8,49,2.8675833333333336,0.7242747042540023,3.272131223271745,0.8207420639079821,-0.45953229380777716,0.39966673772099354,2.0915151515151518,2.550633512116414,0.25876319313663954
SI216,9,50,2.728333333333334,0.4356678302713357,3.2506929381916394,0.5516247511084452,-0.7489293457869921,1.057253789860006,2.0563636363636366,2.5297526528987935,0.27084984306340254
SI216,10,51,2.619416666666667,0.5748369092379352,3.0691427600042176,0.6291658471008555,-0.35260941684118247,0.40135748641896135,2.1045454545454545,2.592268029227212,0.23436697007742224
SI216,11,52,2.750166666666667,0.7455628746121953,3.080870884612017,0.7999441877162916,-0.45507534823795287,0.43050239802820356,2.08030303030303,2.5486405566239987,0.2599210818162796
SI216,12,53,2.8451666666666666,0.6331846645682794,3.3483778382444087,0.6012142963465522,-0.4144199503900866,0.20820216982945924,1.9203030303030304,2.4257243008714706,0.32958498639882816
SI216,13,54,2.681583333333333,0.48096816422711397,3.1705007796940214,0.6188053682195891,-0.4107330877317391,0.2202731523275848,2.0481818181818183,2.491513474565087,0.292726585059636
