feature,importance,dataset,run,seed
roam_slope,0.02072123120100667,Combined,3,44
speed_1s_rows,0.015275670323793244,Combined,3,44
speed_1s_col1_mean,0.013385755448286784,Combined,3,44
speed_1s_col1_std,0.02393709901900442,Combined,3,44
speed_1s_col1_median,0.022421285031376893,Combined,3,44
speed_1s_col1_p10,0.02912805744413116,Combined,3,44
speed_1s_col1_p90,0.021791567765525093,Combined,3,44
speed_1s_col2_mean,0.01944030424790467,Combined,3,44
speed_1s_col2_std,0.025007540563236494,Combined,3,44
speed_1s_col2_median,0.05925342770776832,Combined,3,44
speed_1s_col2_p10,0.10309060278813117,Combined,3,44
speed_1s_col2_p90,0.025360617438326256,Combined,3,44
speed_1s_col3_mean,0.014733512656810355,Combined,3,44
speed_1s_col3_std,0.015151845185410767,Combined,3,44
speed_1s_col3_median,0.0002751030452155003,Combined,3,44
speed_1s_col3_p10,0.0,Combined,3,44
speed_1s_col3_p90,0.0,Combined,3,44
speed_10s_avg_rows,0.01502773527486454,Combined,3,44
speed_10s_avg_col1_mean,0.011304477436632472,Combined,3,44
speed_10s_avg_col1_std,0.03204712763710315,Combined,3,44
speed_10s_avg_col1_median,0.03691151164958486,Combined,3,44
speed_10s_avg_col1_p10,0.02647214407349247,Combined,3,44
speed_10s_avg_col1_p90,0.01842846557879001,Combined,3,44
speed_10s_avg_col2_mean,0.012464868895632975,Combined,3,44
speed_10s_avg_col2_std,0.05485376815815799,Combined,3,44
speed_10s_avg_col2_median,0.024076538475877766,Combined,3,44
speed_10s_avg_col2_p10,0.015159383080415765,Combined,3,44
speed_10s_avg_col2_p90,0.041667996943206644,Combined,3,44
speed_10s_avg_col3_mean,0.016241885599655326,Combined,3,44
speed_10s_avg_col3_std,0.011586089318227844,Combined,3,44
speed_10s_avg_col3_median,0.0002022711180241591,Combined,3,44
speed_10s_avg_col3_p10,0.0,Combined,3,44
speed_10s_avg_col3_p90,0.0,Combined,3,44
stage_2_frames,0.038416399524176886,Combined,4,45
stage_3_frames,0.031174819305563036,Combined,4,45
stage_4_frames,0.02439913603145702,Combined,4,45
stage_5_frames,0.024516736691185478,Combined,4,45
roam_mean,0.02432067421722795,Combined,4,45
roam_std,0.014232186706947486,Combined,4,45
roam_median,0.03328723687651173,Combined,4,45
roam_p10,0.0,Combined,4,45
roam_p90,0.022612606339845562,Combined,4,45
roam_early_mean,0.02313820043884422,Combined,4,45
roam_mid_mean,0.023443461048993242,Combined,4,45
roam_late_mean,0.025929526216285678,Combined,4,45
roam_slope,0.014142027030896304,Combined,4,45
speed_1s_rows,0.02379106848489281,Combined,4,45
speed_1s_col1_mean,0.012154762890428815,Combined,4,45
speed_1s_col1_std,0.02368173397643404,Combined,4,45
speed_1s_col1_median,0.022044663878525037,Combined,4,45
speed_1s_col1_p10,0.03223890940803225,Combined,4,45
speed_1s_col1_p90,0.015335341546579777,Combined,4,45
speed_1s_col2_mean,0.018688345112365674,Combined,4,45
speed_1s_col2_std,0.026750382779168833,Combined,4,45
speed_1s_col2_median,0.05828448239426342,Combined,4,45
speed_1s_col2_p10,0.04293349823757748,Combined,4,45
speed_1s_col2_p90,0.02587514714433032,Combined,4,45
speed_1s_col3_mean,0.02937560542293001,Combined,4,45
speed_1s_col3_std,0.02565584906967526,Combined,4,45
speed_1s_col3_median,0.0010659465130901456,Combined,4,45
speed_1s_col3_p10,0.0,Combined,4,45
speed_1s_col3_p90,0.0,Combined,4,45
speed_10s_avg_rows,0.023410536837193158,Combined,4,45
speed_10s_avg_col1_mean,0.011798627520745059,Combined,4,45
speed_10s_avg_col1_std,0.019154337179144623,Combined,4,45
speed_10s_avg_col1_median,0.022450796452344084,Combined,4,45
speed_10s_avg_col1_p10,0.028611828211672182,Combined,4,45
speed_10s_avg_col1_p90,0.016451460321272305,Combined,4,45
speed_10s_avg_col2_mean,0.01992397223982775,Combined,4,45
speed_10s_avg_col2_std,0.03263559008198888,Combined,4,45
speed_10s_avg_col2_median,0.05800669067320856,Combined,4,45
speed_10s_avg_col2_p10,0.02004551628804709,Combined,4,45
speed_10s_avg_col2_p90,0.038909570569609614,Combined,4,45
speed_10s_avg_col3_mean,0.022631321112523476,Combined,4,45
speed_10s_avg_col3_std,0.027363730071515907,Combined,4,45
speed_10s_avg_col3_median,0.0011172751546789502,Combined,4,45
