dataset,run,seed,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
Combined,1,42,2.5719106753812633,0.35282648770007624,3.3052284829016223,0.44253551535643876,-0.214450731965029,0.24794502024484605,2.344347826086956,2.92667491993158,-0.1367562468640242
Combined,2,43,2.581483660130719,0.4989904776964216,3.226993966813791,0.607118576943446,-0.2639907830333939,0.23539129829413766,2.352753623188406,2.875043540943135,-0.09700152199364465
Combined,3,44,2.6097102396514162,0.3019832816129577,3.3415255131223285,0.4126910697863348,-0.20710862779965558,0.1418652655588751,2.242608695652174,2.871898999744646,-0.09460317221385961
Combined,4,45,2.5466339869281045,0.5604984419466381,3.2476163361052373,0.6351259287514126,-0.1369556034772287,0.23945049796015824,2.347536231884058,2.918011863703603,-0.1300365334225344
Combined,5,46,2.6374422657952072,0.543802266050697,3.3732256980845845,0.5326718615401157,-0.2665283197249327,0.18812217976049866,2.2630434782608697,2.8331753579148,-0.06528371801304589
Combined,6,47,2.559590413943355,0.2709731121686816,3.268170622301967,0.29282581232173766,-0.1547780444290613,0.18897481469966634,2.4381159420289857,2.995816648479067,-0.1911016808830912
Combined,7,48,2.769540305010893,0.29786039721533225,3.5270495821660672,0.39343937520879463,-0.367196689989473,0.14220659830032623,2.2505797101449274,2.779240590677526,-0.025110461615654778
Combined,8,49,2.508326797385621,0.5054115616173107,3.2024109733425723,0.6878127425786534,-0.09364604391709712,0.25131674707761065,2.2755072463768116,2.8375359283941295,-0.06856542063890281
Combined,9,50,2.5449302832244007,0.2938246640146868,3.2432716091565488,0.4938791905517014,-0.14468940040074912,0.12955999732298035,2.268840579710145,2.835089055336855,-0.0667233177231421
Combined,10,51,2.6744226579520696,0.1854147321394078,3.4189912202356596,0.21958360360585372,-0.26933167293652616,0.3362516212940781,2.3349275362318838,2.8981747546020338,-0.1147244215866643
Combined,11,52,2.56938779956427,0.7061735494809405,3.199717924353645,0.7424121203849496,-0.1416086901059169,0.12127283250087842,2.2444927536231885,2.8804480830975394,-0.10112971232647605
Combined,12,53,2.5563681917211327,0.4677773876075228,3.2825649269357156,0.2718656302860332,-0.22220258195028234,0.2815377112414272,2.2694202898550726,2.844780880994099,-0.07402902659307564
Combined,13,54,2.580651416122004,0.3730214482434297,3.3139168949163453,0.29300457947832104,-0.17800597296696233,0.19516810051754074,2.241739130434783,2.8199002963153537,-0.05532416792105699
Combined,14,55,2.498437908496732,0.29409041789554863,3.146369323813486,0.3005867146254621,-0.03130947220702809,0.1297084032396085,2.267536231884058,2.8338429209261218,-0.06578578915091726
Combined,15,56,2.618538126361656,0.20511542883901024,3.364353993863088,0.21353953283189964,-0.2441459725756137,0.11236038229559438,2.268550724637681,2.8774167326162714,-0.09881329932541694
Combined,16,57,2.6480457516339877,0.3642796744984538,3.371023078075859,0.43588954577288175,-0.23778149750383962,0.14044981744602217,2.327826086956522,2.901159188614296,-0.11702140826225138
Combined,17,58,2.5831132897603486,0.3257380375739255,3.278701581192803,0.5508271204717629,-0.15033605688949486,0.19622927969000004,2.216086956521739,2.7739902197250865,-0.021240968389362846
Combined,18,59,2.6513485838779958,0.5229088422940109,3.310916210726886,0.5970044779021715,-0.28510090460366583,0.10123736320404424,2.2530434782608695,2.8113974382067637,-0.048969515526565255
Combined,19,60,2.476636165577342,0.39830997735837953,3.154830855177691,0.47572978985239406,-0.06056168276387393,0.11565812789380191,2.2228985507246377,2.814896365036148,-0.051582131906115825
Combined,20,61,2.5630261437908493,0.5898481128616568,3.2835963841489275,0.6032476559778115,-0.15072448318784054,0.1672215285794383,2.1960869565217394,2.7524559959537656,-0.005446916987233319
Combined,21,62,2.5698213507625276,0.28167365617910023,3.2415450965035917,0.4313513904540794,-0.1384127777339557,0.1516098399923064,2.294782608695652,2.857703716518031,-0.08380905948597883
Combined,22,63,2.7198213507625275,0.23707761637226163,3.3999032908756512,0.36956720912590496,-0.19972243953347313,0.21828534868528449,2.2924637681159417,2.888394736629565,-0.10721374254334637
Combined,23,64,2.5120980392156858,0.5992862261337086,3.1901984998673694,0.6561425104684517,-0.09326900438596093,0.12318929941215172,2.2776811594202897,2.8498465082830244,-0.07785742320343436
Combined,24,65,2.5930348583877993,0.3943491468170811,3.3709340922583344,0.42984656950977806,-0.3170467227459282,0.34696063500687524,2.25072463768116,2.819998286908035,-0.05539751351954081
Combined,25,66,2.6360239651416117,0.5075699743132802,3.3670059105565833,0.5695754703570396,-0.23438769883377458,0.15364350742406135,2.3027536231884054,2.8595498953270138,-0.08520987065841568
Combined,26,67,2.625446623093682,0.4620737410803837,3.3892269589622273,0.5241710920951012,-0.22328174024136124,0.1947972430939487,2.3250724637681155,2.9056113461173694,-0.12045243072977674
Combined,27,68,2.580938997821351,0.36731759286718296,3.321197320310336,0.4394741370688442,-0.1596307616948281,0.08947492655479655,2.325217391304348,2.8899484307452874,-0.10840522383899209
Combined,28,69,2.51578431372549,0.47883978707522407,3.1603893086973445,0.5809704074014177,-0.07465290055352325,0.06433497551951985,2.2286956521739127,2.801825491881413,-0.041838835925740225
Combined,29,70,2.6782897603485836,0.4494554344256044,3.390167322088849,0.5627176524849008,-0.35998498202358953,0.20545771994690173,2.331304347826087,2.906538855054587,-0.12116787088141856
Combined,30,71,2.6138431372549022,0.45033415727058507,3.262560268230812,0.5872764601776221,-0.11002035283865683,0.11775335772547535,2.2807246376811596,2.847590641888001,-0.07615168924569349
Combined,31,72,2.6081633986928106,0.31577894165490245,3.2858824710930667,0.44890543371025093,-0.1835486846296918,0.12255532254472556,2.2953623188405796,2.8943506526478595,-0.11178463511178016
Combined,32,73,2.5596688453159038,0.33898432007939044,3.284412014298985,0.3360328606500966,-0.15294813720563347,0.195726706573849,2.267246376811594,2.825062779859047,-0.05919173774878761
