feature,importance,dataset,run,seed
roam_slope,0.019575067880490876,SI206,3,44
speed_1s_rows,0.01993476954402583,SI206,3,44
speed_1s_col1_mean,0.01788840352090045,SI206,3,44
speed_1s_col1_std,0.023095725677771992,SI206,3,44
speed_1s_col1_median,0.015722941862845164,SI206,3,44
speed_1s_col1_p10,0.017046981898043746,SI206,3,44
speed_1s_col1_p90,0.02019421364373623,SI206,3,44
speed_1s_col2_mean,0.009392015784841714,SI206,3,44
speed_1s_col2_std,0.06803028656667308,SI206,3,44
speed_1s_col2_median,0.03713206808477443,SI206,3,44
speed_1s_col2_p10,0.04719700725861542,SI206,3,44
speed_1s_col2_p90,0.015097864705750327,SI206,3,44
speed_1s_col3_mean,0.022866722265629448,SI206,3,44
speed_1s_col3_std,0.03764395296914559,SI206,3,44
speed_1s_col3_median,0.00014383489847897505,SI206,3,44
speed_1s_col3_p10,0.0,SI206,3,44
speed_1s_col3_p90,0.0,SI206,3,44
speed_10s_avg_rows,0.027897140671913137,SI206,3,44
speed_10s_avg_col1_mean,0.015439154156800371,SI206,3,44
speed_10s_avg_col1_std,0.012717787479730997,SI206,3,44
speed_10s_avg_col1_median,0.01085131028956725,SI206,3,44
speed_10s_avg_col1_p10,0.019824476558087938,SI206,3,44
speed_10s_avg_col1_p90,0.01834376391430076,SI206,3,44
speed_10s_avg_col2_mean,0.01183380036603195,SI206,3,44
speed_10s_avg_col2_std,0.04428466059449874,SI206,3,44
speed_10s_avg_col2_median,0.02543731517015679,SI206,3,44
speed_10s_avg_col2_p10,0.017523413565865315,SI206,3,44
speed_10s_avg_col2_p90,0.029000458853043868,SI206,3,44
speed_10s_avg_col3_mean,0.022382944238518294,SI206,3,44
speed_10s_avg_col3_std,0.03564823474049346,SI206,3,44
speed_10s_avg_col3_median,0.00039791984557963013,SI206,3,44
speed_10s_avg_col3_p10,0.0,SI206,3,44
speed_10s_avg_col3_p90,0.0,SI206,3,44
stage_2_frames,0.03855242677873309,SI206,4,45
stage_3_frames,0.10873151034401522,SI206,4,45
stage_4_frames,0.060117612958025334,SI206,4,45
stage_5_frames,0.04963335132851019,SI206,4,45
roam_mean,0.0158729556853336,SI206,4,45
roam_std,0.026460894689651154,SI206,4,45
roam_median,0.011860881055373812,SI206,4,45
roam_p10,0.0,SI206,4,45
roam_p90,0.015511078637868903,SI206,4,45
roam_early_mean,0.018452723650703527,SI206,4,45
roam_mid_mean,0.01602484639891622,SI206,4,45
roam_late_mean,0.024038917490507142,SI206,4,45
roam_slope,0.027907024085711805,SI206,4,45
speed_1s_rows,0.02712357020313898,SI206,4,45
speed_1s_col1_mean,0.0190973807160869,SI206,4,45
speed_1s_col1_std,0.0248481258332434,SI206,4,45
speed_1s_col1_median,0.012933701909855714,SI206,4,45
speed_1s_col1_p10,0.017451805885939486,SI206,4,45
speed_1s_col1_p90,0.021092038376271112,SI206,4,45
speed_1s_col2_mean,0.006642391245925039,SI206,4,45
