feature,importance,dataset,run,seed
speed_1s_stage4_col1_std_over_mean,0.00959946774008351,SI206_shuffled,2,43
speed_1s_stage4_col2_mean,0.006439829115697577,SI206_shuffled,2,43
speed_1s_stage4_col2_std_over_mean,0.016709220359356517,SI206_shuffled,2,43
speed_1s_stage5_rows,0.0004225067165819137,SI206_shuffled,2,43
speed_1s_stage5_col1_mean,0.020837473051718392,SI206_shuffled,2,43
speed_1s_stage5_col1_std_over_mean,0.011576209004854994,SI206_shuffled,2,43
speed_1s_stage5_col2_mean,0.010854023523011793,SI206_shuffled,2,43
speed_1s_stage5_col2_std_over_mean,0.019196787133197484,SI206_shuffled,2,43
speed_10s_avg_rows,0.02201287119806375,SI206_shuffled,2,43
speed_10s_avg_stage2_rows,0.012870803025719675,SI206_shuffled,2,43
speed_10s_avg_stage2_col1_mean,0.017236051708671568,SI206_shuffled,2,43
speed_10s_avg_stage2_col1_std_over_mean,0.009715800186209713,SI206_shuffled,2,43
speed_10s_avg_stage2_col2_mean,0.019406582843224645,SI206_shuffled,2,43
speed_10s_avg_stage2_col2_std_over_mean,0.013633649500866296,SI206_shuffled,2,43
speed_10s_avg_stage3_rows,0.011161548256623428,SI206_shuffled,2,43
speed_10s_avg_stage3_col1_mean,0.02324727186257927,SI206_shuffled,2,43
speed_10s_avg_stage3_col1_std_over_mean,0.020245642679754153,SI206_shuffled,2,43
speed_10s_avg_stage3_col2_mean,0.024814014209603382,SI206_shuffled,2,43
speed_10s_avg_stage3_col2_std_over_mean,0.0258292286189273,SI206_shuffled,2,43
speed_10s_avg_stage4_rows,0.004568778673507075,SI206_shuffled,2,43
speed_10s_avg_stage4_col1_mean,0.024832071748719542,SI206_shuffled,2,43
speed_10s_avg_stage4_col1_std_over_mean,0.031053083663246963,SI206_shuffled,2,43
speed_10s_avg_stage4_col2_mean,0.011182430007596472,SI206_shuffled,2,43
speed_10s_avg_stage4_col2_std_over_mean,0.03749988768479066,SI206_shuffled,2,43
speed_10s_avg_stage5_rows,0.00020412265707626744,SI206_shuffled,2,43
speed_10s_avg_stage5_col1_mean,0.027858914328659643,SI206_shuffled,2,43
speed_10s_avg_stage5_col1_std_over_mean,0.021790092413656204,SI206_shuffled,2,43
speed_10s_avg_stage5_col2_mean,0.007304579521588215,SI206_shuffled,2,43
speed_10s_avg_stage5_col2_std_over_mean,0.010822600317166505,SI206_shuffled,2,43
stage_2_frames,0.04977693282102069,SI206_shuffled,3,44
stage_3_frames,0.012904491624729704,SI206_shuffled,3,44
stage_4_frames,0.014976822192776604,SI206_shuffled,3,44
stage_5_frames,0.007302698514764294,SI206_shuffled,3,44
roam_mean,0.007933667356180445,SI206_shuffled,3,44
roam_std_over_mean,0.08191989482354635,SI206_shuffled,3,44
roam_early_mean,0.007529188375423164,SI206_shuffled,3,44
roam_mid_mean,0.08125417235677214,SI206_shuffled,3,44
roam_late_mean,0.01738556628795716,SI206_shuffled,3,44
roam_slope,0.052607997937884995,SI206_shuffled,3,44
speed_1s_rows,0.020798430820808223,SI206_shuffled,3,44
speed_1s_stage2_rows,0.012436833181656235,SI206_shuffled,3,44
speed_1s_stage2_col1_mean,0.01853224757803792,SI206_shuffled,3,44
speed_1s_stage2_col1_std_over_mean,0.01024904997101088,SI206_shuffled,3,44
speed_1s_stage2_col2_mean,0.019869952693732193,SI206_shuffled,3,44
