worm_id,days_alive
cam034_w2,4.0
cam034_w3,7.0
cam034_w4,7.0
cam035_w3,7.0
cam036_w2,8.0
cam036_w4,6.0
cam037_w5,5.0
cam040_w1,13.0
cam040_w2,13.0
cam040_w4,11.0
cam040_w5,13.0
cam040_w6,11.0
cam228_w2,6.0
cam228_w6,6.0
cam229_w1,9.0
cam229_w2,9.0
cam231_w1,8.0
cam231_w6,6.0
cam241_w1,4.0
cam245_w3,9.0
cam302_w3,6.0
cam302_w4,6.0
cam304_w1,6.0
cam304_w4,3.0
cam307_w6,14.0
cam308_w3,6.0
cam308_w5,11.0
cam309_w1,14.0
cam309_w3,9.0
cam309_w6,6.0
cam516_w5,11.0
cam516_w6,6.0
cam537_w2,6.0
cam537_w3,9.0
cam537_w4,10.0
cam537_w6,9.0
cam787_w1,5.0
cam787_w3,13.0
cam787_w4,6.0
cam787_w5,6.0
cam788_w4,13.0
cam788_w5,6.0
cam791_w4,6.0
cam791_w5,11.0
cam791_w6,11.0
cam795_w1,6.0
cam795_w2,9.0
cam795_w3,6.0
cam796_w1,6.0
cam796_w2,8.0
cam796_w5,13.0
