worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_file,excel_worm_number,excel_days_alive
cam787_w3,787,3,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,coordCAM787-w3CAM787_2025-12-04-125913-stages.mat,105.0,13.0
cam787_w4,787,4,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,coordCAM787-w4CAM787_2025-12-04-125913-stages.mat,106.0,6.0
cam787_w5,787,5,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,coordCAM787-w5CAM787_2025-12-04-125913-stages.mat,107.0,6.0
cam788_w4,788,4,CAM788_2025-12-04-125901,2025-12-04-125901,SI216_2025-04-12,coordCAM788-w4CAM788_2025-12-04-125901-stages.mat,100.0,13.0
cam788_w5,788,5,CAM788_2025-12-04-125901,2025-12-04-125901,SI216_2025-04-12,coordCAM788-w5CAM788_2025-12-04-125901-stages.mat,101.0,6.0
cam791_w4,791,4,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,coordCAM791-w4CAM791_2025-12-04-132441-stages.mat,82.0,6.0
cam791_w5,791,5,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,coordCAM791-w5CAM791_2025-12-04-132441-stages.mat,83.0,11.0
cam791_w6,791,6,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,coordCAM791-w6CAM791_2025-12-04-132441-stages.mat,84.0,11.0
cam795_w1,795,1,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,coordCAM795-w1CAM795_2025-12-04-125848-stages.mat,91.0,6.0
cam795_w2,795,2,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,coordCAM795-w2CAM795_2025-12-04-125848-stages.mat,92.0,9.0
cam795_w3,795,3,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,coordCAM795-w3CAM795_2025-12-04-125848-stages.mat,93.0,6.0
cam796_w1,796,1,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,coordCAM796-w1CAM796_2025-12-04-132428-stages.mat,85.0,6.0
cam796_w2,796,2,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,coordCAM796-w2CAM796_2025-12-04-132428-stages.mat,86.0,8.0
cam796_w5,796,5,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,coordCAM796-w5CAM796_2025-12-04-132428-stages.mat,89.0,13.0
