worm_id,stage_index,start_frame,end_frame,file_start,source_file
cam034_w2,1,5,75600,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w2,2,75601,198720,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w2,3,198721,299160,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w2,4,299161,388800,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w2,5,388801,497880,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w2,6,497881,670680,5,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat
cam034_w3,1,15,64800,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w3,2,64801,187920,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w3,3,187921,279720,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w3,4,279721,372600,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w3,5,372601,483840,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w3,6,483841,656640,15,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat
cam034_w4,1,15,54000,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam034_w4,2,54001,166320,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam034_w4,3,166321,257040,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam034_w4,4,257041,351000,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam034_w4,5,351001,461160,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam034_w4,6,461161,633960,15,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat
cam035_w3,1,15,64800,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam035_w3,2,64801,191160,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam035_w3,3,191161,282960,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam035_w3,4,282961,370440,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam035_w3,5,370441,487080,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam035_w3,6,487081,659880,15,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat
cam036_w2,1,5,86400,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w2,2,86401,207360,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w2,3,207361,297000,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w2,4,297001,388800,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w2,5,388801,498960,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w2,6,498961,671760,5,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat
cam036_w4,1,5,64800,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam036_w4,2,64801,205200,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam036_w4,3,205201,301320,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam036_w4,4,301321,393120,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam036_w4,5,393121,501120,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam036_w4,6,501121,673920,5,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat
cam037_w5,1,5,86400,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam037_w5,2,86401,216000,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam037_w5,3,216001,304560,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam037_w5,4,304561,397440,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam037_w5,5,397441,507600,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam037_w5,6,507601,680400,5,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat
cam040_w1,1,5,75600,5,coordCAM040-w1CAM040_2025-12-04-132455-stages.mat
