worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_6_frames,total_frames,roam_mean,roam_std,roam_median,roam_p10,roam_p90
cam308_w5,308,5,CAM308_2025-12-04-142259,2025-12-04-142259,SI216_2025-04-12,127440,99360,91800,172800,671756,0.10157706490999868,0.17187276047723066,0.023327464788732395,0.0,0.3324962872501295
cam309_w1,309,1,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,122040,86400,88560,172800,657716,0.08871259754771814,0.1624724366037817,0.01736806947227789,0.0,0.2889169858025504
cam309_w3,309,3,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,127440,88560,84240,172800,670676,0.10260962429994133,0.14385387244931616,0.035924617196702,0.0,0.3099915640021647
cam309_w6,309,6,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,126360,88560,90720,172800,672836,0.08391726291327824,0.1582726371943678,0.015299026425591099,0.0,0.27043908472479916
cam516_w5,516,5,CAM516_2025-12-04-140349,2025-12-04-140349,SI216_2025-04-12,128520,93960,86400,172800,670676,0.08044464047604862,0.12818773973627703,0.0236013986013986,0.0,0.23132795058408714
cam516_w6,516,6,CAM516_2025-12-04-140349,2025-12-04-140349,SI216_2025-04-12,124200,82080,95040,172800,667436,0.06986479088890424,0.12380979589667471,0.013914656771799629,0.0,0.20069474598349987
cam537_w2,537,2,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,144720,96120,88560,58854,599930,0.07970651957070751,0.14905749026515752,0.01484375,0.0,0.2428692493946732
cam537_w3,537,3,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,122040,86400,92880,111774,599930,0.15308415070941087,0.20768804858023335,0.07626076260762607,0.0,0.47734135730619065
cam537_w4,537,4,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,123120,92880,99360,86934,599930,0.09709785207474046,0.1749338503678583,0.014563106796116505,0.0,0.34426498168888275
cam537_w6,537,6,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,120960,96120,99360,99894,599930,0.12521810430195818,0.20362479501600647,0.02969046114971573,0.0,0.4339268814953405
cam787_w1,787,1,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,131760,96120,99360,172800,699836,0.11125615675230935,0.18549061246908508,0.025899912203687446,0.0,0.37111741186024266
cam787_w3,787,3,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,132840,95040,96120,172800,646916,0.09432739609785787,0.15997053082711576,0.023876404494382022,0.0,0.2576791629872127
cam787_w4,787,4,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,124200,98280,93960,172800,676076,0.12306611218254382,0.202380853634377,0.023564954682779457,0.0,0.43001727682138036
cam787_w5,787,5,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,124200,88560,91800,172800,677156,0.11311533437174251,0.18766407871775234,0.01933534743202417,0.0,0.35422021386989727
cam788_w4,788,4,CAM788_2025-12-04-125901,2025-12-04-125901,SI216_2025-04-12,124200,93960,92880,172800,680396,0.09801871549588145,0.15214955321556609,0.02606310013717421,0.0,0.2949452870171481
cam788_w5,788,5,CAM788_2025-12-04-125901,2025-12-04-125901,SI216_2025-04-12,154440,106920,105840,165396,716192,0.0851921404188902,0.16134037475264992,0.0077192982456140355,0.0,0.30390670553935867
cam791_w4,791,4,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,132840,97200,98280,172800,697676,0.10741388802755637,0.1813576293414688,0.026674937965260544,0.0,0.31987820791648547
cam791_w5,791,5,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,130680,98280,95040,172800,689036,0.12087262135768596,0.18125987522370982,0.03022508038585209,0.0,0.38679678530424805
cam791_w6,791,6,CAM791_2025-12-04-132441,2025-12-04-132441,SI216_2025-04-12,203040,97200,92880,172800,695516,0.11769205291809547,0.1825593047186707,0.02735810534912209,0.0,0.37821138211382155
cam795_w1,795,1,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,124200,95040,91800,172800,680396,0.11008875454444729,0.1621285959576817,0.036103542234332424,0.0,0.3227217497962578
cam795_w2,795,2,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,124200,91800,97200,172800,681476,0.09545184974723323,0.1547338360103849,0.02241112828438949,0.0,0.27626965096805567
cam795_w3,795,3,CAM795_2025-12-04-125848,2025-12-04-125848,SI216_2025-04-12,123120,92880,95040,172800,689036,0.11486304856424644,0.20496596619746896,0.017363851617995266,0.0,0.38011241642536947
cam796_w1,796,1,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,141480,98280,103680,164152,717108,0.10482043809991055,0.1696864673150736,0.025343953656770456,0.0,0.3096570360470237
cam796_w2,796,2,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,120960,91800,96120,172800,658796,0.11259374145404123,0.18955200990767693,0.03287841191066997,0.0,0.389970359771055
cam796_w5,796,5,CAM796_2025-12-04-132428,2025-12-04-132428,SI216_2025-04-12,135000,95040,96120,172800,676076,0.10222953395721199,0.17102910691688228,0.02344767694311767,0.0,0.31462497740217055
