feature,n,pearson_r,pearson_p,spearman_r,spearman_p,linreg_slope,linreg_intercept,linreg_p,linreg_r2
stage_1_frames,73,0.7367077573854897,1.0925916594815528e-13,0.7086220747355982,2.321644228021184e-12,2.149436226223205e-05,20.729923393835207,1.0925916594815708e-13,0.5427383197919575
stage_2_frames,73,0.1548816813111267,0.1907442423047126,0.2073210440116788,0.07841544225105479,9.205649360099772e-06,21.003240382422042,0.19074424230471193,0.023988335205761397
stage_3_frames,73,0.3754400869889704,0.001064085629163283,0.3365810879011163,0.0035960692162000265,8.955038506036315e-05,14.44960722064963,0.0010640856291632887,0.1409552589182855
stage_1_2_frames,73,0.918118052538895,2.9582549554112018e-30,0.9079731402907149,1.5657916849702154e-28,3.026055388545554e-05,16.353035062352454,2.9582549554109695e-30,0.8429407583978136
stage_1_3_frames,73,0.9283833249211823,3.0441999016723273e-32,0.9507156788813992,7.747261889235337e-38,2.9286168947280635e-05,14.019148603674385,3.0441999016723656e-32,0.8618955979917092
