label,baseline,train_mean,train_std,train_pool_size,mae,rmse,r2
SI206_2025-05-08,random_normal,8.666666666666666,3.287180487219337,,4.195850223764659,5.38467174197558,-3.0099039041999385
SI206_2025-05-08,random_shuffle,,,48,3.1538461538461537,4.141720192606709,-1.372340425531915
SI216_2025-04-12,random_normal,8.1,2.896549671592048,,3.9976972131151585,5.106607470931344,-1.9711584023755084
SI216_2025-04-12,random_shuffle,,,40,2.8181818181818183,4.123105625617661,-0.9369114877589453
Combined,random_normal,8.269662921348315,3.1364620623244357,,3.418220925957269,4.090497443539643,-1.220601499883268
Combined,random_shuffle,,,89,3.739130434782609,4.201449025401055,-1.342699448068239
