worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_5_frames,roam_mean,roam_std_over_mean,roam_early_mean,roam_mid_mean,roam_late_mean,roam_slope,speed_1s_rows,speed_1s_stage2_rows,speed_1s_stage2_col1_mean,speed_1s_stage2_col1_std_over_mean,speed_1s_stage2_col2_mean,speed_1s_stage2_col2_std_over_mean,speed_1s_stage3_rows,speed_1s_stage3_col1_mean,speed_1s_stage3_col1_std_over_mean,speed_1s_stage3_col2_mean,speed_1s_stage3_col2_std_over_mean,speed_1s_stage4_rows,speed_1s_stage4_col1_mean,speed_1s_stage4_col1_std_over_mean,speed_1s_stage4_col2_mean,speed_1s_stage4_col2_std_over_mean,speed_1s_stage5_rows,speed_1s_stage5_col1_mean,speed_1s_stage5_col1_std_over_mean,speed_1s_stage5_col2_mean,speed_1s_stage5_col2_std_over_mean,speed_10s_avg_rows,speed_10s_avg_stage2_rows,speed_10s_avg_stage2_col1_mean,speed_10s_avg_stage2_col1_std_over_mean,speed_10s_avg_stage2_col2_mean,speed_10s_avg_stage2_col2_std_over_mean,speed_10s_avg_stage3_rows,speed_10s_avg_stage3_col1_mean,speed_10s_avg_stage3_col1_std_over_mean,speed_10s_avg_stage3_col2_mean,speed_10s_avg_stage3_col2_std_over_mean,speed_10s_avg_stage4_rows,speed_10s_avg_stage4_col1_mean,speed_10s_avg_stage4_col1_std_over_mean,speed_10s_avg_stage4_col2_mean,speed_10s_avg_stage4_col2_std_over_mean,speed_10s_avg_stage5_rows,speed_10s_avg_stage5_col1_mean,speed_10s_avg_stage5_col1_std_over_mean,speed_10s_avg_stage5_col2_mean,speed_10s_avg_stage5_col2_std_over_mean
cam034_w2,34,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,117720,82080,85320,104760,0.1270649891509128,1.4640351823626108,0.19610297316727315,0.07247279172123823,0.11261920256422708,-0.00020214424301497776,562650,82074,1.210594271515514,1.1179800658249237,59.66111728300292,1.0420517425798697,85314,1.0830174881623675,1.0675360432310668,59.99534224760084,1.049002410440082,104754,1.3913628473769082,1.0832914607173059,56.453422591240006,1.1104034681073682,172794,2.6875893494238507,2.1773914879699623,51.29887719018108,1.1883734761676779,562650,82074,1.2106098735432336,0.9104353709756868,59.65928132979911,0.560570695853995,85314,1.0830018631011795,0.7326771022208419,59.99694049718331,0.4894894540150334,104754,1.3913647919339405,0.6919432386122696,56.4544911568145,0.47136608229125687,172779,2.687502808731477,1.0046857745820414,51.29744696693731,0.508109604189574
cam034_w5,34,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,119880,88560,87480,104760,0.11800638227252457,1.526356829771476,0.16952121156556427,0.09298405459921259,0.0915138806527968,-0.00014209492419193243,573450,88554,1.2708534739257653,1.052307880826674,57.47373957194459,1.0883309038584168,87474,1.086007434933788,1.0287423641524152,59.93842544007879,1.0424904219514668,104754,1.4132140152506916,1.0962908085424672,58.0236019764716,1.0809157257767783,172794,2.0907837711923194,1.2299967258433226,52.59140980401588,1.1376945777881338,573450,88554,1.2708624130766548,0.8672381600678551,57.47485588396173,0.658558666701412,87474,1.0860034961147689,0.6299925961796158,59.93709420252306,0.4986552583632512,104754,1.4132171304835146,0.7112748397372451,58.02440189163724,0.4812290447110405,172779,2.0908102781047697,0.7554723180722859,52.59075543550968,0.48269744723160124
cam035_w1,35,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,120960,86400,88560,104760,0.10251069388999423,1.6523779549678284,0.12593897122929382,0.07593841810591187,0.10565469233477698,6.093136740815939e-05,573450,86394,1.2536538355642302,1.0550703322509782,62.619188181588065,1.0330191233441468,88554,1.0591765852053432,1.1019365264049665,65.69570627188388,0.9912168813757175,104754,1.2402884624586599,1.0379177744327335,57.24856011706976,1.0900395648397232,172794,2.103101834733779,1.118547807260638,47.75715599373637,1.262544054212301,573450,86394,1.2536938228271712,0.794086978460786,62.61638971538274,0.5620783566967648,88554,1.0591401240813354,0.7590119565573163,65.69982583667112,0.48425080151615263,104754,1.2402894048474196,0.6437040442630112,57.24838965658233,0.5168270692597645,172779,2.10320557452693,0.7481603979573915,47.7515572268407,0.5334791053173829
cam035_w5,35,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,129600,87480,90720,110160,0.13379650774013185,1.3315448214280385,0.14474515662033177,0.12582372803816233,0.13082063856190143,5.869758459655454e-05,590730,87474,1.2028391653752757,1.049528693168833,60.594295231879364,1.0704448670474758,90714,1.1653761799644562,1.1490276783732907,62.66324292539521,1.032452524309789,110154,1.431518127488016,1.0768914764544208,54.715267861099846,1.1445334695600546,172794,2.3221021238990818,1.3039617555498302,48.54773131380931,1.2523921373361382,590730,87474,1.2028370204843495,0.802037983331386,60.59082037273427,0.5815527900629974,90714,1.1653802311837116,0.8386995184151143,62.6648390943355,0.5192633971932131,110154,1.4315214334733677,0.7232250530703276,54.71521726558427,0.551380895035084,172779,2.3212790160461427,0.894420380224152,48.54811928639113,0.5591484584132737
cam036_w2,36,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,120960,83160,85320,105840,0.11809325145093298,1.4889921099522974,0.17891753028754928,0.09616172112847576,0.07920050293677394,-0.00026004183441295423,568050,83154,1.2016339206203945,1.0616973275008206,56.73763778795267,1.1224512668592261,85314,1.0591083832861996,1.1539260358487775,60.57678789071656,1.0525023539585556,105834,1.4077539572938715,1.0928105164342412,55.73123851512224,1.1295209417215264,172794,1.7407960600917864,1.2054094553884593,53.71983946424992,1.1574787628882688,568050,83154,1.2016426662511166,0.8467718739628185,56.739371159244705,0.6265678598238571,85314,1.0591066013788626,0.8269781990584081,60.57676055084193,0.5327766791173669,105834,1.4077510051569462,0.7570571630372067,55.73060017591629,0.5576040967221434,172779,1.7408809145451936,0.7720780829951699,53.7174659775275,0.45210424819371225
cam036_w3,36,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,124200,86400,72360,108000,0.13616144499496471,1.3980845011024765,0.20915134350531914,0.0867230996172218,0.11260989186235315,-0.00026423485841107564,563730,86394,1.210693679287732,0.9712565182338592,55.10069901857759,1.126857575287945,72354,1.1097922665310556,1.2130594720538344,64.72598321825225,0.995233748222368,107994,1.3420720990453696,1.1068117575067014,57.716846390229634,1.1053924840125613,172794,2.2478595809000708,1.2074734239114735,49.01227605885665,1.2517274674032837,563730,86394,1.2106950749130492,0.7277875649588701,55.1009135076854,0.6627691988222151,72354,1.109798605274206,0.9194221505910963,64.7273045301247,0.5160774734145364,107994,1.342069597030496,0.7229934905896508,57.71666595132889,0.524144292598387,172779,2.2478664284358634,0.7943072279536008,49.01267789720458,0.5030298457455229
cam036_w6,36,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,114480,84240,85320,103680,0.08941949350807071,1.4740287942112877,0.09595192618536057,0.07345109807561223,0.09885545626323936,0.0001054207543616279,560490,84234,0.9095362555172679,1.0951004912525253,68.98546346439392,0.9627469672492219,85314,1.1476096219280227,1.1680471342336625,65.72448368677405,1.0110067814315442,103674,1.2078210361614892,1.1885378640928095,63.005398530001806,1.0266859605864354,172794,2.429623088020132,1.2304232501697072,49.42114992153811,1.2474629856548418,560490,84234,0.9095517593484627,0.7859061949250493,68.98656767034693,0.4830061403502655,85314,1.1475683212334575,0.8379755459679498,65.7273998235334,0.4931981420523651,103674,1.207842117590428,0.7594324589813309,63.00407508811321,0.42994287451582497,172779,2.429683349300744,0.8550488592316191,49.4194835687455,0.5253333004683989
cam037_w1,37,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,90720,79920,105840,0.09778180275427553,1.5826321137420365,0.14455865262432424,0.06358323737032269,0.08520351826817972,-0.0001063886619689141,564810,90714,1.1135778103333647,1.1154550991854197,62.801120661058484,1.042153870767942,79914,1.0257662824286857,1.0811885171586693,62.199459676244366,1.0262346088259515,105834,1.2243108021800808,1.023983012509549,60.25023166084995,1.0681076912616705,172794,2.3716133166835545,1.209957220363384,50.184438227118434,1.253712195667972,564810,90714,1.1135833580059575,0.8824721347449183,62.80111695932784,0.5704601717305767,79914,1.0257671052436084,0.7200011353146278,62.19874472988245,0.47663144093231696,105834,1.2243126472463224,0.592690762581635,60.25055401237474,0.44085525344895365,172779,2.3714010446000318,0.7554520166353358,50.186324096151814,0.5039932297224391
cam037_w2,37,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,81000,87480,103680,0.0998673683028109,1.5754437615971788,0.1492484720099178,0.048641074385876934,0.10171255851263797,-3.012209726774143e-05,560490,80994,1.177177315803746,1.0777662436415023,56.84863640304409,1.104176741194531,87474,0.9356097336856686,1.1570756816768015,65.39463249860293,0.9803330391527554,103674,1.2482215144055466,1.1257082515316779,61.314389218807776,1.0455027181779832,172794,2.576583840797382,1.2245285196548665,52.65324892641406,1.2039664798613736,560490,80994,1.1771553328240836,0.8522258118834456,56.85242522550753,0.6011342506667617,87474,0.9356120884522856,0.754069614158669,65.39486610038082,0.45626621563686465,103674,1.2482548284192492,0.7087083341781409,61.312879343668484,0.43726004915793637,172779,2.5764814184093234,0.8769895756903907,52.65630945650016,0.48158586929851765
cam037_w3,37,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,116640,86400,85320,111240,0.1044327241434912,1.6588727872884057,0.17678420678420678,0.034104310878920935,0.10240965476734588,-0.00016874722580203415,572370,86394,1.0725954798581414,1.1374373356797687,64.16724585530521,1.0101375510225714,85314,0.8713706619711972,1.0627618517832655,65.49457109459547,0.9781072117885694,111234,1.2562724339191216,1.1255836231766085,62.082716585976335,1.0389015456217985,172794,2.516514652332797,1.1613441459476268,49.20212277711839,1.2467489992349003,572370,86394,1.0725991559752004,0.9210027904580783,64.16743479698935,0.5708343475069334,85314,0.8713840468741911,0.6049527308524927,65.48871613021274,0.4307428894665598,111234,1.256279745322229,0.705359799402275,62.085521036463064,0.4794700013586528,172779,2.516509961237616,0.7902996036766315,49.204101327203695,0.49278095738767846
