worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_file,speed_row_index
cam302_w5,302,5,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,coordCAM302-w5CAM302_2025-05-08-122159-stages.mat,40
cam302_w6,302,6,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,coordCAM302-w6CAM302_2025-05-08-122159-stages.mat,41
cam304_w1,304,1,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,coordCAM304-w1CAM304_2025-05-08-114024-stages.mat,42
cam304_w2,304,2,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,coordCAM304-w2CAM304_2025-05-08-114024-stages.mat,43
cam304_w4,304,4,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,coordCAM304-w4CAM304_2025-05-08-114024-stages.mat,44
cam304_w6,304,6,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,coordCAM304-w6CAM304_2025-05-08-114024-stages.mat,45
cam306_w1,306,1,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,coordCAM306-w1CAM306_2025-05-08-114043-stages.mat,46
cam306_w2,306,2,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,coordCAM306-w2CAM306_2025-05-08-114043-stages.mat,47
cam306_w4,306,4,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,coordCAM306-w4CAM306_2025-05-08-114043-stages.mat,48
cam306_w5,306,5,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,coordCAM306-w5CAM306_2025-05-08-114043-stages.mat,49
cam306_w6,306,6,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,coordCAM306-w6CAM306_2025-05-08-114043-stages.mat,50
cam307_w1,307,1,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,coordCAM307-w1CAM307_2025-05-08-122128-stages.mat,51
cam307_w2,307,2,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,coordCAM307-w2CAM307_2025-05-08-122128-stages.mat,52
cam307_w3,307,3,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,coordCAM307-w3CAM307_2025-05-08-122128-stages.mat,53
cam307_w4,307,4,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,coordCAM307-w4CAM307_2025-05-08-122128-stages.mat,54
cam308_w2,308,2,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,coordCAM308-w2CAM308_2025-05-08-114056-stages.mat,55
cam308_w3,308,3,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,coordCAM308-w3CAM308_2025-05-08-114056-stages.mat,56
cam308_w4,308,4,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,coordCAM308-w4CAM308_2025-05-08-114056-stages.mat,57
cam308_w5,308,5,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,coordCAM308-w5CAM308_2025-05-08-114056-stages.mat,58
cam308_w6,308,6,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,coordCAM308-w6CAM308_2025-05-08-114056-stages.mat,59
cam309_w1,309,1,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w1CAM309_2025-05-08-114626-stages.mat,60
cam309_w2,309,2,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w2CAM309_2025-05-08-114626-stages.mat,61
cam309_w3,309,3,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w3CAM309_2025-05-08-114626-stages.mat,62
cam309_w4,309,4,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w4CAM309_2025-05-08-114626-stages.mat,63
cam309_w5,309,5,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w5CAM309_2025-05-08-114626-stages.mat,64
cam309_w6,309,6,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,coordCAM309-w6CAM309_2025-05-08-114626-stages.mat,65
cam516_w1,516,1,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,coordCAM516-w1CAM516_2025-05-08-122149-stages.mat,66
cam516_w3,516,3,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,coordCAM516-w3CAM516_2025-05-08-122149-stages.mat,67
cam516_w4,516,4,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,coordCAM516-w4CAM516_2025-05-08-122149-stages.mat,68
cam516_w5,516,5,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,coordCAM516-w5CAM516_2025-05-08-122149-stages.mat,69
cam537_w1,537,1,CAM537_2025-05-08-120219,2025-05-08-120219,SI206_2025-05-08,coordCAM537-w1CAM537_2025-05-08-120219-stages.mat,70
cam537_w2,537,2,CAM537_2025-05-08-120219,2025-05-08-120219,SI206_2025-05-08,coordCAM537-w2CAM537_2025-05-08-120219-stages.mat,71
cam537_w3,537,3,CAM537_2025-05-08-120219,2025-05-08-120219,SI206_2025-05-08,coordCAM537-w3CAM537_2025-05-08-120219-stages.mat,72
cam537_w5,537,5,CAM537_2025-05-08-120219,2025-05-08-120219,SI206_2025-05-08,coordCAM537-w5CAM537_2025-05-08-120219-stages.mat,73
