worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_6_frames,total_frames,roam_mean,roam_std,roam_median,roam_p10,roam_p90,roam_early_mean,roam_mid_mean,roam_late_mean,roam_slope,speed_1s_rows,speed_1s_col1_mean,speed_1s_col1_std,speed_1s_col1_median,speed_1s_col1_p10,speed_1s_col1_p90,speed_1s_col2_mean,speed_1s_col2_std,speed_1s_col2_median,speed_1s_col2_p10,speed_1s_col2_p90,speed_1s_col3_mean,speed_1s_col3_std,speed_1s_col3_median,speed_1s_col3_p10,speed_1s_col3_p90,speed_10s_avg_rows,speed_10s_avg_col1_mean,speed_10s_avg_col1_std,speed_10s_avg_col1_median,speed_10s_avg_col1_p10,speed_10s_avg_col1_p90,speed_10s_avg_col2_mean,speed_10s_avg_col2_std,speed_10s_avg_col2_median,speed_10s_avg_col2_p10,speed_10s_avg_col2_p90,speed_10s_avg_col3_mean,speed_10s_avg_col3_std,speed_10s_avg_col3_median,speed_10s_avg_col3_p10,speed_10s_avg_col3_p90,speed_av2_rows,speed_av2_col1_mean,speed_av2_col1_std,speed_av2_col1_median,speed_av2_col1_p10,speed_av2_col1_p90,speed_av2_col2_mean,speed_av2_col2_std,speed_av2_col2_median,speed_av2_col2_p10,speed_av2_col2_p90,speed_av2_col3_mean,speed_av2_col3_std,speed_av2_col3_median,speed_av2_col3_p10,speed_av2_col3_p90,speed_av2_col4_mean,speed_av2_col4_std,speed_av2_col4_median,speed_av2_col4_p10,speed_av2_col4_p90,speed_av2_col5_mean,speed_av2_col5_std,speed_av2_col5_median,speed_av2_col5_p10,speed_av2_col5_p90,speed_av2_col6_mean,speed_av2_col6_std,speed_av2_col6_median,speed_av2_col6_p10,speed_av2_col6_p90,days_alive
cam034_w2,34,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,117720,82080,85320,172800,638276,0.1270649891509128,0.1860276145634598,0.038391224862888484,0.0,0.4055158403836874,0.19610297316727315,0.07247279172123823,0.11261920256422708,-0.00020214424301497776,562650,1.579631239217726,3.478047480757775,0.8092926796344619,0.15918745209159021,3.799050409654074,57.69822170975823,61.972566320913295,24.29734911233919,2.78932297055072,164.60634759197063,3.2360970407891227,1.5302262027509148,3.0,1.0,5.0,562650,1.5795220557842082,1.8211033325206598,1.0537732436712695,0.3345602387938152,3.281954316534398,57.69538687108409,29.043231251274022,55.355240201927,20.08532839461463,99.48111151436876,3.2359370834444148,1.5303379798218173,3.0,1.0,5.0,562471,1.5735418089377238,1.707233807228205,1.0538906158686117,0.33489070232407053,3.2809304600583897,57.709265701024066,29.034728512887522,55.36359789587414,20.12032665381924,99.48965327767318,2.7370193307743866,1.9320922079756013,2.0,1.0,5.0,16.940128468845504,8.027964985224992,16.0,7.0,28.0,3.235642370895566,1.5301296308080474,3.0,1.0,5.0,0.12895242599174,0.3351472778087043,0.0,0.0,1.0,8.0
cam034_w5,34,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,119880,88560,87480,172800,649076,0.11800638227252457,0.1801198475382915,0.041927409261576974,0.0,0.3337308347529813,0.16952121156556427,0.09298405459921259,0.0915138806527968,-0.00014209492419193243,573450,1.379455080931292,1.8034049460818689,0.7431368300905312,0.15827555651046882,3.3992237435439843,60.00839013722314,62.015177473287736,27.869286682526887,2.9477045717779973,164.4459517554598,3.21281715929898,1.5275011400922385,3.0,1.0,5.0,573450,1.3793907677082866,1.226784887039055,1.0297342196269943,0.32671310460762765,2.8233030144195994,60.00457126406421,30.158948660111857,57.824745699811835,20.452871406374197,103.71166957887351,3.2126602144912373,1.52760861614724,3.0,1.0,5.0,572737,1.3811079705734346,1.226581873207306,1.031124837178989,0.32797833700086015,2.824669311301437,60.07927092431188,30.103265548074503,57.87308522841728,20.672560195621028,103.73343697130774,2.5155682276507365,1.4170659902605969,2.0,1.0,4.0,17.594941482739895,8.322736697334193,17.0,7.0,30.0,3.212970351138481,1.5275631768752147,3.0,1.0,5.0,0.11204095422506316,0.31541683341476956,0.0,0.0,1.0,8.0
cam035_w1,35,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,120960,86400,88560,172800,649076,0.10251069388999423,0.16938641073228172,0.027966101694915254,0.0,0.3441617974384404,0.12593897122929382,0.07593841810591187,0.10565469233477698,6.093136740815939e-05,573450,1.363403180669523,1.6705397942850402,0.7688484724693448,0.17095074175406286,3.2743851931029293,61.79282769571852,63.62670365826387,28.389114872543125,2.7613693361871916,166.78382571957786,3.21281715929898,1.5287335962714075,3.0,1.0,5.0,573450,1.3633672431468653,1.1852732035513056,0.9978465202805162,0.3987339811820182,2.754131394755463,61.78709847352463,31.624699914598033,58.95241167408852,21.100933081197287,108.0826734475023,3.2126602144912373,1.5288409856859244,3.0,1.0,5.0,573085,1.3642355768909844,1.1851509287479125,0.998439452128552,0.3994651444444891,2.7548403092687606,61.826450909799895,31.59629099229786,58.976521747608096,21.191242131764316,108.09725840973648,2.5296212603714983,1.347574938968687,2.0,1.0,4.0,18.077787762722807,8.734049954368242,17.0,7.0,31.0,3.213537258870848,1.5288697620253968,3.0,1.0,5.0,0.1018854096687228,0.3024975586105768,0.0,0.0,1.0,14.0
cam035_w5,35,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,129600,87480,90720,172800,677156,0.13379650774013185,0.17815604700652904,0.04978540772532189,0.0,0.39673024523160777,0.14474515662033177,0.12582372803816233,0.13082063856190143,5.869758459655454e-05,590730,1.4481007748087447,2.0308795650926115,0.7371768019176698,0.15088838948838784,3.550853824185552,60.021424658584245,63.635986527197616,25.490357788830934,2.40318297244519,166.62116437509758,3.184652887105784,1.532320726983741,3.0,1.0,5.0,590730,1.4477898073112219,1.4779941854440906,0.984784095567186,0.3350136483058542,3.063942146519232,60.01799828962856,32.83514368090976,57.382971950048244,15.452586413141296,107.58428821247998,3.1845005332385354,1.5324219312602063,3.0,1.0,5.0,584732,1.4626407873572136,1.4782262167777571,0.9968944559301962,0.3455429272868596,3.0791673799222656,60.63364435268169,32.4326547030578,57.83838174623436,17.298700417193274,107.76123545650395,2.612516503286976,1.6844572213511209,2.0,1.0,4.0,17.7488678574116,8.964713886492182,17.0,6.0,31.0,3.1934356252094975,1.5259492923192663,3.0,1.0,5.0,0.13329696339519642,0.33989540000537827,0.0,0.0,1.0,13.0
cam036_w2,36,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,120960,83160,85320,172800,643676,0.11809325145093298,0.1758399196490519,0.03518029903254178,0.0,0.39168880455407973,0.17891753028754928,0.09616172112847576,0.07920050293677394,-0.00026004183441295423,568050,1.2685400673408265,1.5784677925199304,0.6869857222221745,0.13349018284826222,3.16002950602396,59.47701426519115,63.26375373337404,25.05060351591252,2.660177738667467,166.21959797701427,3.2224452072880907,1.5335188291339286,3.0,1.0,5.0,568050,1.268501487604535,1.107629720140338,0.9441998182240301,0.2931490209793948,2.64486077089273,59.47388551668221,30.411063087243832,56.54658128119716,21.07952051667049,103.86959961985563,3.222286770530763,1.5336278956979597,3.0,1.0,5.0,567723,1.2692321255854642,1.1075300860005524,0.9447518486200693,0.29384299749115433,2.6454471114468663,59.508141589738905,30.38629514694499,56.567394261734314,21.152677454492885,103.88001241532078,2.394748847589405,1.28708953755192,2.0,1.0,4.0,17.436503365197463,8.401303237347967,17.0,7.0,30.0,3.222652596424665,1.5335554547490973,3.0,1.0,5.0,0.10767751174428375,0.30997268461727934,0.0,0.0,1.0,8.0
cam036_w3,36,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,124200,86400,72360,172800,639356,0.13616144499496471,0.19036520589517755,0.04950065132435953,0.0,0.42606429192006967,0.20915134350531914,0.0867230996172218,0.11260989186235315,-0.00026423485841107564,563730,1.436507757431522,1.8841971621782685,0.7789401431816949,0.14995368988953414,3.4815182027936378,57.099345889807374,62.619216038672235,22.65568128786351,2.5995061849157355,165.8604586135515,3.2107391836517483,1.5516830655597222,3.0,1.0,5.0,563730,1.4364314963039266,1.3337183747598196,1.024346678780148,0.3221781186974292,3.0387618514362273,57.095839738369364,30.25885001778615,53.8365743799987,18.626090848002992,101.88118641988628,3.2105795327550424,1.5517904770565947,3.0,1.0,5.0,563700,1.4365079428976626,1.3337126956955276,1.0244199766948525,0.3222951802398052,3.0388553879505826,57.098878367413434,30.256788164465057,53.83890704746985,18.6381064058643,101.88228051052747,2.586863579918396,1.5253122561683137,2.0,1.0,4.0,16.771410324640765,8.36468229926869,16.0,6.0,29.0,3.210750399148483,1.5516549975663723,3.0,1.0,5.0,0.13074330317544794,0.3371194029572027,0.0,0.0,1.0,10.0
cam036_w6,36,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,114480,84240,85320,172800,657716,0.08941949350807071,0.13180690819468555,0.02604920405209841,0.0,0.2623534520191057,0.09595192618536057,0.07345109807561223,0.09885545626323936,0.0001054207543616279,560490,1.415335652630826,2.0310140768455605,0.6867270833037551,0.14156488716966914,3.4971659593903412,62.614654286406854,64.56029856870003,27.91763704494369,2.7388302912334717,168.05196757427808,3.2427875608842265,1.525264331533555,3.0,1.0,5.0,560490,1.4152481147834766,1.490571835231697,0.9400488979626458,0.33409429300905336,2.9518479664103947,62.61213803373603,30.238466453819576,60.052024485225466,23.975522235094385,106.37963473535147,3.242626987100573,1.5253776086175739,3.0,1.0,5.0,560460,1.415323869419746,1.4905757633163346,0.9400941314304592,0.3341605835094752,2.951885201390655,62.61548950242428,30.235805649164497,60.05478775949256,23.981933854460884,106.38063941105489,2.5657049566427577,1.696101677880383,2.0,1.0,4.0,18.295812368411664,8.35912861330234,18.0,8.0,30.0,3.2428005566855798,1.5252339308377352,3.0,1.0,5.0,0.09440638047318274,0.292393255392691,0.0,0.0,0.0,7.0
cam037_w1,37,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,90720,79920,172800,651236,0.09778180275427553,0.15475262117850597,0.02922077922077922,0.0,0.28625565995864743,0.14455865262432424,0.06358323737032269,0.08520351826817972,-0.0001063886619689141,564810,1.4183650993863992,1.936167762974807,0.7600686414703761,0.15837940765354555,3.437386295108668,60.77638035299293,64.02579589979909,25.990052535434,2.617927616804056,167.41308695477392,3.229457693737717,1.528864691900067,3.0,1.0,5.0,564810,1.4182089709990942,1.3342530627198876,1.022905306056853,0.3486609162712831,2.9291396193830406,60.775052278394554,29.94190823169836,58.075541900849544,22.70003906166937,104.03660489383759,3.229298348117066,1.528975448769313,3.0,1.0,5.0,564331,1.4194127363373592,1.3341790144867838,1.0238313342721301,0.34970863356928567,2.9301457363223253,60.8266376955369,29.902191539184702,58.109506905750855,22.803208337296883,104.05310791987698,2.5703248625363484,1.5249788057267375,2.0,1.0,4.0,17.80179185619787,8.265697716099089,17.0,7.0,30.0,3.2296347356427346,1.5289857944410514,3.0,1.0,5.0,0.09930165098142757,0.29906660310671657,0.0,0.0,0.0,3.0
cam037_w2,37,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,81000,87480,172800,646916,0.0998673683028109,0.15733542237979126,0.030583873957367932,0.0,0.29193037605209343,0.1492484720099178,0.048641074385876934,0.10171255851263797,-3.012209726774143e-05,560490,1.4740692598943892,2.1232905612727437,0.71592254582267,0.14505511085579834,3.6509887890367034,60.89079733393759,63.64520938000518,26.729941344726203,2.796131228377296,167.08455427625074,3.2447144462880693,1.5255880197321878,3.0,1.0,5.0,560490,1.4739641882419092,1.5969761162449323,0.9593219087139067,0.3260955131736704,3.1618553353522,60.88713976198008,28.79643040861493,58.80557171814436,24.002264272857087,101.21901801779207,3.2445538725044156,1.5257014755804317,3.0,1.0,5.0,560401,1.4741982756413852,1.5969948826844669,0.9594836881255634,0.3262980514191697,3.1621318506293155,60.896809543866304,28.78849145316163,58.81089191169489,24.024280372624364,101.22282357711293,2.6278646897489475,1.8113759211625857,2.0,1.0,5.0,17.820524945530074,7.958534290810117,17.0,8.0,29.0,3.244542747068617,1.5255316092929878,3.0,1.0,5.0,0.10043700849927106,0.30058179556152165,0.0,0.0,1.0,11.0
cam037_w3,37,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,116640,86400,85320,172800,647996,0.1044327241434912,0.17324060418403442,0.03796653796653797,0.0,0.2952529233684249,0.17678420678420678,0.034104310878920935,0.10240965476734588,-0.00016874722580203415,572370,1.4430114149793543,1.9888144187153538,0.7261945483022734,0.14886569383251694,3.573379742431297,60.620381035616504,63.59693871502125,26.418678907480924,2.7529240877620085,166.95213675296506,3.239635201006342,1.5200390728555115,3.0,1.0,5.0,572370,1.4429198371058194,1.4561458745625073,0.9834393633157534,0.3239201608964016,3.089246008480056,60.618321639303204,30.21958375060266,57.98546788818847,22.04580069969765,104.41904007419468,3.2394779600607997,1.520150054256645,3.0,1.0,5.0,571744,1.4444996837120423,1.4561594328365501,0.9847151892142862,0.3253484711647976,3.0909331323836904,60.6846923740135,30.169445446789304,58.03315573423433,22.17976271598872,104.43979822955005,2.591866289808026,1.6610896536434898,2.0,1.0,4.0,17.763387110315104,8.340237350324626,17.0,7.0,30.0,3.2409295069121846,1.5202718946419467,3.0,1.0,5.0,0.10822500979459339,0.31066438007849173,0.0,0.0,1.0,7.0
