worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_1_frames,stage_2_frames,stage_3_frames,stage_1_prop,stage_2_prop,stage_3_prop,stage_1_3_frames,death_day,early_ratio,early_roam_mean,early_roam_std,early_roam_median,early_roam_p10,early_roam_p90,early_roam_slope,early_speed_1s_rows,early_speed_1s_col1_mean,early_speed_1s_col1_std,early_speed_1s_col1_median,early_speed_1s_col1_p10,early_speed_1s_col1_p90,early_speed_1s_col2_mean,early_speed_1s_col2_std,early_speed_1s_col2_median,early_speed_1s_col2_p10,early_speed_1s_col2_p90,early_speed_1s_col3_mean,early_speed_1s_col3_std,early_speed_1s_col3_median,early_speed_1s_col3_p10,early_speed_1s_col3_p90,early_speed_10s_avg_rows,early_speed_10s_avg_col1_mean,early_speed_10s_avg_col1_std,early_speed_10s_avg_col1_median,early_speed_10s_avg_col1_p10,early_speed_10s_avg_col1_p90,early_speed_10s_avg_col2_mean,early_speed_10s_avg_col2_std,early_speed_10s_avg_col2_median,early_speed_10s_avg_col2_p10,early_speed_10s_avg_col2_p90,early_speed_10s_avg_col3_mean,early_speed_10s_avg_col3_std,early_speed_10s_avg_col3_median,early_speed_10s_avg_col3_p10,early_speed_10s_avg_col3_p90,early_speed_av2_rows,early_speed_av2_col1_mean,early_speed_av2_col1_std,early_speed_av2_col1_median,early_speed_av2_col1_p10,early_speed_av2_col1_p90,early_speed_av2_col2_mean,early_speed_av2_col2_std,early_speed_av2_col2_median,early_speed_av2_col2_p10,early_speed_av2_col2_p90,early_speed_av2_col3_mean,early_speed_av2_col3_std,early_speed_av2_col3_median,early_speed_av2_col3_p10,early_speed_av2_col3_p90,early_speed_av2_col4_mean,early_speed_av2_col4_std,early_speed_av2_col4_median,early_speed_av2_col4_p10,early_speed_av2_col4_p90,early_speed_av2_col5_mean,early_speed_av2_col5_std,early_speed_av2_col5_median,early_speed_av2_col5_p10,early_speed_av2_col5_p90,early_speed_av2_col6_mean,early_speed_av2_col6_std,early_speed_av2_col6_median,early_speed_av2_col6_p10,early_speed_av2_col6_p90
cam034_w1,034,1,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,113400,83160,0.11985743187107985,0.17979566080454595,0.13185015125666702,272156,21.89986111111111,0.4315068493150685,0.12157080378091767,0.18223580965570074,0.03477868112014453,0.0,0.3849768365320981,-0.0007052121587328853,239525,0.9479573280548215,1.0140793412660742,0.602854209410914,0.1542683736797918,2.1687145899002873,64.03902135461344,62.61473469801406,33.55557118654809,3.556796169229103,166.25560086206684,1.706013986013986,0.7526022401912658,2.0,1.0,3.0,239525,0.9479385270698458,0.7166181190825336,0.7562506272465607,0.32928502998536585,1.746752255869927,64.03127354147195,29.942668006621577,62.83176230491084,23.931382096557996,106.06781184023893,1.7059513620707651,0.7527025831773935,2.0,1.0,3.0,239348,0.9488061377454758,0.7163076696609094,0.7568741748023282,0.33004150691067774,1.7471264539250155,64.08581362668764,29.893467980696958,62.85745454939857,24.07929544066909,106.08380169840387,2.0525051389608437,0.8691896316881483,2.0,1.0,3.0,18.70148486722262,8.263842979609613,18.0,8.0,30.0,1.705525009609439,0.7524681098181605,2.0,1.0,3.0,0.12280863011180373,0.32821741343485406,0.0,0.0,1.0
cam034_w2,034,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,117720,82080,0.11843779180166573,0.1844343199493636,0.12859640657019847,275396,22.16236111111111,0.43147208121827413,0.15363636430805822,0.22883644876134232,0.03505417463352454,0.0,0.5143403441682601,-0.0007102825688576407,242768,0.9879390012405947,1.099754889322004,0.5846520385405318,0.14598223715119046,2.3758569000778533,61.61210237122861,61.6711133508568,30.760296846001776,3.4807579610158887,164.3091647164448,1.6921587688657485,0.7530988766297595,2.0,1.0,3.0,242768,0.9879252370532073,0.8564180964059693,0.708695982981379,0.306846148412271,2.049451019555928,61.609235769024146,31.45679337729067,60.54634706784501,15.63400454374757,105.54410987914643,1.6920969814802609,0.7531966774423219,2.0,1.0,3.0,242691,0.9878568121938195,0.8564206359139869,0.7085960158958163,0.3068627384962661,2.0491760562512145,61.61755942919696,31.455730137388468,60.554168756237836,15.646459492378598,105.54970243824239,2.0844860336806885,1.0263668150318423,2.0,1.0,3.0,18.01865334932074,8.696099546596994,18.0,5.0,30.0,1.6918674363697046,0.7529084947609602,2.0,1.0,3.0,0.16095776110362559,0.36749198663934673,0.0,0.0,1.0
cam034_w4,034,4,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,118800,88560,0.11724745485113748,0.18425574946181192,0.13735428596244162,282956,22.38736111111111,0.4388609715242881,0.11141159251678882,0.17311114784439724,0.01619778346121057,0.0,0.3706885660138976,-0.0009482470339801007,249769,0.9884252745439673,1.0516662428370753,0.6226042657034654,0.16185892380570607,2.2787657671155173,66.1556956145536,63.374094194010226,36.11116820150811,3.6143009202572185,167.23289526037854,1.69422546432904,0.7429389847426192,2.0,1.0,3.0,249769,0.9884063934862316,0.7744876252157569,0.7551239566093405,0.35223897772644464,1.9047954325750827,66.14867386533597,31.059885716547566,65.87209066252869,22.933332128342247,108.82282942449825,1.694165408837766,0.7430355112897605,2.0,1.0,3.0,249183,0.9905164705992754,0.7740307880575683,0.7563481563759082,0.35397901279422767,1.9063705652869138,66.29459758172597,30.94302790247441,65.98157044187572,23.3380403956176,108.85317864554533,2.1055248552268813,0.9246637473592877,2.0,1.0,3.0,19.31039436879723,8.555295505093675,19.0,7.0,31.0,1.6933699329408507,0.7434349162341568,2.0,1.0,3.0,0.13185490181914497,0.33833295240843536,0.0,0.0,1.0
cam034_w5,034,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,119880,88560,0.11646710092500724,0.18469331788573295,0.1364401087083793,284036,22.53736111111111,0.43760399334442596,0.14764529065010426,0.23585005380841545,0.027082937999586366,0.0,0.4871379897785352,0.0009793122044765964,250944,0.9296062638132255,1.045280374895502,0.5298616034936254,0.14193143505551492,2.3200282861413575,65.89173737577303,62.40271511474851,38.03163042677528,3.6170576245997723,165.33853650775185,1.6917320198928845,0.7430258007508618,2.0,1.0,3.0,250944,0.9295564028354308,0.8090095903847467,0.6471562962835627,0.29671704608572735,1.993925199449097,65.8862294310942,32.82192161861869,66.57273979355939,16.195735974203412,109.85129177235005,1.6916722456006121,0.7431216635818312,2.0,1.0,3.0,250632,0.9315470273316847,0.8087631475765017,0.6487099299541812,0.29777622885279587,1.9968945088033039,65.99367008796602,32.72911242757161,66.64168797431668,16.68296490816566,109.86420361721952,2.0040896613361423,0.9917081134855825,2.0,1.0,3.0,19.228829518976028,9.048650997752995,19.0,6.0,31.0,1.691954738421271,0.7439871902900081,2.0,1.0,3.0,0.1381108557566472,0.34501630001901906,0.0,0.0,1.0
cam035_w1,035,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,75596,120960,86400,0.11646710092500724,0.18635722165046928,0.13311230117890663,282956,22.53736111111111,0.43594009983361065,0.10277082621871923,0.19777137270974207,0.0037220843672456576,0.0,0.36181342632955543,0.0006037610239948461,249990,0.9798549817028359,1.0566554363475351,0.6162692943189669,0.17109903462425588,2.2600120735305613,72.10422225158477,64.03156630042429,48.08246174211356,4.032516190515825,168.55108353856832,1.6867394695787832,0.7458404765680623,2.0,1.0,3.0,249990,0.9798299432308317,0.7755187978865342,0.7320223411599689,0.38808540500307115,1.8973027193317005,72.09794425961292,32.588433107178666,74.33122916883283,24.350551533662454,113.91903918652436,1.686679467178687,0.7459359404934935,2.0,1.0,3.0,249831,0.9809279124208152,0.774977650773979,0.7324933251797193,0.38927391074110984,1.8978971300354397,72.2093236041496,32.49300061090621,74.4068207137108,24.6829651160349,113.92453146905616,2.127826410653602,0.9074007144130506,2.0,1.0,3.0,20.945899428013337,8.982392168245799,22.0,8.0,32.0,1.6873646585091522,0.7468535882627189,2.0,1.0,3.0,0.10835724950066244,0.3108310730627066,0.0,0.0,1.0
cam035_w5,035,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,86396,129600,87480,0.12758655317238568,0.19138869034609454,0.12918736598361383,303476,23.51236111111111,0.4481658692185008,0.12502964068070146,0.19469525806097568,0.01694189994234834,0.0,0.44025776695919583,7.309922586057873e-05,264745,0.9579921639873847,1.1181350882006986,0.5396825396826443,0.13899137526637756,2.375776421442916,68.84014685448524,64.21829562416032,41.199914482816254,3.208882066980657,167.9597528910758,1.6905815029556743,0.7575299910817505,2.0,1.0,3.0,264745,0.9579646392419486,0.8716382449599283,0.6398586992533881,0.31437777653093624,2.077818133566687,68.83468469919423,35.00998045339044,71.83244820453663,14.614381074173314,113.95756790724342,1.6905248446618444,0.7576190314474687,2.0,1.0,3.0,262057,0.9745777012162627,0.8696652576610908,0.6510231784800169,0.323763297916972,2.096760260409636,69.79260903185586,34.188488314668234,72.44423602064997,17.891789334880578,114.07103575489712,2.0643753076620737,1.0490221965653042,2.0,1.0,3.0,20.278588246068605,9.44921217134847,21.0,6.0,33.0,1.7075636216548309,0.7622361160783656,2.0,1.0,3.0,0.14008402752073024,0.3470741891214349,0.0,0.0,1.0
cam036_w1,036,1,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,64796,124200,86400,0.10238340528002327,0.1962469741307934,0.13651963417794324,275396,21.97486111111111,0.4351535836177474,0.13958519347009676,0.19841171077954456,0.04471299093655589,0.0,0.4187667101509004,-0.00034830136219098865,247189,0.8815353312070738,0.9010464425688808,0.562644635968597,0.13794107374671555,2.065466881330111,63.56602315257628,63.36866398272358,31.536923867589486,3.3030949373492677,167.13593018839617,1.6456436168276096,0.7245175705242384,1.0,1.0,3.0,247189,0.881503193920246,0.626833850321865,0.7083738532898728,0.30815554623039804,1.6676509198978982,63.559531900842686,31.24345564083903,61.75836051331788,21.92141647050306,108.40539231624562,1.6455829345156945,0.7246135155533613,1.0,1.0,3.0,247176,0.881551295118019,0.6268155854885525,0.7084068835970799,0.3081969195480506,1.6676640255789166,63.563524016172636,31.24038952990413,61.76019798332028,21.93261341914249,108.4059260869609,1.9694590089652717,0.7895028483950357,2.0,1.0,3.0,18.55661552901576,8.636943689764012,18.0,7.0,31.0,1.6456937566754053,0.724529406089385,1.0,1.0,3.0,0.13752144221121793,0.3443970022276102,0.0,0.0,1.0
cam036_w2,036,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,75596,120960,83160,0.11744417999117568,0.18792063087640365,0.1291954337275275,279716,22.34986111111111,0.43456375838926176,0.14193646417920733,0.20330563681507405,0.03660049627791563,0.0,0.4684162895927602,8.046228168448177e-05,246854,0.9514964008314766,1.0838003911284555,0.5389466734204844,0.13000496951352847,2.3627115907102336,64.07671146054537,63.47451872758228,32.2698968882785,3.2096747671745485,166.59558346808177,1.683181151611884,0.7501805344039555,2.0,1.0,3.0,246854,0.9514542251508716,0.8482378432524247,0.6668026573417485,0.2727333374615992,2.0617472279217863,64.07455757771952,32.987177915440576,64.00551106312855,15.174443669057316,109.53367801364288,1.683120386949371,0.7502763635574553,2.0,1.0,3.0,246712,0.9528348914830952,0.8485059236050293,0.667567410791045,0.2734428932952222,2.0656495313991092,64.1228926694535,32.94491516432039,64.03478304285898,15.37323703530388,109.54461802050473,2.0368810596971367,1.023895370841121,2.0,1.0,3.0,18.711290897889036,9.108228307586565,19.0,5.0,31.0,1.6834081844417783,0.7507223924125837,2.0,1.0,3.0,0.15053179415674958,0.3575919086118973,0.0,0.0,1.0
cam036_w3,036,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,75596,124200,86400,0.11823772671250446,0.19425797208440992,0.1351359805804591,286196,22.19986111111111,0.44763513513513514,0.1624443365825182,0.20811308969213174,0.0716012084592145,0.0,0.5369244135534321,-0.00024964920068633296,252345,1.0040504098684513,1.0662805576695775,0.6202061571502334,0.14774721328670168,2.425189531965056,60.477645069800225,62.03662825872114,28.37518801425109,3.32484208482144,165.2305735879912,1.6733162931700647,0.7422352294429257,2.0,1.0,3.0,252345,1.0040151317910244,0.8096068276845031,0.7424773257158571,0.3043177312175281,2.144689529576118,60.47270536093194,32.44457053315103,58.5315498519739,14.026760508519233,106.97936791367715,1.6732568507400583,0.7423291869757345,2.0,1.0,3.0,252332,1.0040700759226409,0.809592423746927,0.742489434150817,0.3043482952112227,2.1446927749173823,60.476468604874846,32.44211176234561,58.53385556664415,14.036184874002833,106.97999689980827,2.108361206664236,0.9722993081215966,2.0,1.0,3.0,17.704401344260734,8.967195566337846,17.0,5.0,31.0,1.6733668341708543,0.7422455905465536,2.0,1.0,3.0,0.17677900543728103,0.3814815705560188,0.0,0.0,1.0
cam036_w6,036,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,97196,114480,84240,0.14777806834560814,0.17405688777527079,0.1280795966648219,295916,22.83736111111111,0.44991789819376027,0.07654512747409979,0.11632133968896506,0.02226179875333927,0.0,0.23538663171690724,3.068712979977703e-05,252174,0.8739840926289433,1.0096808568055224,0.5196180399038031,0.13791693030266577,2.055553126414654,70.13453800000251,64.67022207181003,42.287447681106386,3.7289046833212383,169.02875969662745,1.7580718075614457,0.7793840424182826,2.0,1.0,3.0,252174,0.8738921045961945,0.7357203876583425,0.6368793880205317,0.3179161234710178,1.722519097978277,70.13235730936691,31.309388911297273,70.95871488283917,26.860617570736974,111.96449512502582,1.7580123248233364,0.7794800505142974,2.0,1.0,3.0,252161,0.8739528951603123,0.7357151308445924,0.6369063000362891,0.31795938953266123,1.7226106898771638,70.13632305924956,31.305609419155154,70.95960988705782,26.8679463994989,111.96513108668502,1.9618418391424526,0.9060262967654926,2.0,1.0,3.0,20.373317047441912,8.655520218461055,21.0,8.0,32.0,1.7581267523526636,0.7793900481632904,2.0,1.0,3.0,0.09765586272262562,0.29684877496551226,0.0,0.0,0.0
