feature,importance
roam_median,0.08222633087185821
stage_4_frames,0.06244588340677797
total_frames,0.060137688683790755
stage_2_frames,0.05720169288440695
roam_mean,0.05656884771793398
stage_3_frames,0.04594521761514633
roam_p90,0.04449729127248047
roam_std,0.03770521270892216
roam_late_mean,0.0322572557368178
roam_slope,0.027867792604645326
speed_1s_col2_std,0.02605692333253639
speed_10s_avg_col2_std,0.025007219853850626
speed_1s_col2_p10,0.020368362681751965
speed_1s_rows,0.01583648934129569
speed_10s_avg_rows,0.015463201496125924
speed_av2_col1_std,0.01430936164908329
speed_10s_avg_col3_std,0.01371343140518993
speed_1s_col1_std,0.013703304650115359
speed_av2_rows,0.013417973517244513
roam_early_mean,0.013374364996352934
speed_1s_col3_std,0.013317166993935509
speed_10s_avg_col3_mean,0.01249136711892956
speed_10s_avg_col1_std,0.012122701644033378
speed_10s_avg_col2_median,0.011360467603446712
speed_1s_col1_p10,0.011133190472130792
speed_av2_col4_std,0.010915648848478251
speed_1s_col2_median,0.01066382983138027
speed_av2_col2_std,0.010515806667627607
roam_mid_mean,0.01033340636655599
speed_1s_col3_mean,0.009982207574800665
speed_av2_col2_median,0.008646947307303629
speed_1s_col1_p90,0.00851437548079109
speed_av2_col2_p90,0.008391258013068507
speed_av2_col3_std,0.00817662353608777
speed_1s_col2_p90,0.008120682912749737
speed_av2_col3_mean,0.008081198760955022
speed_10s_avg_col2_p90,0.007803378034506586
speed_av2_col5_std,0.007582594777713988
speed_av2_col2_p10,0.007325806021832845
speed_av2_col1_p10,0.007181426334661002
speed_av2_col1_p90,0.006829312576013776
speed_av2_col5_mean,0.006696858422926115
speed_10s_avg_col1_mean,0.006553500836021474
speed_10s_avg_col1_p10,0.006318777372829398
speed_1s_col1_mean,0.006224895644854773
speed_av2_col6_std,0.006221717748810736
speed_10s_avg_col2_p10,0.005740714102929414
speed_av2_col4_mean,0.005634232039551059
speed_av2_col1_median,0.005131214111548166
speed_av2_col4_p90,0.004889501436557457
speed_av2_col6_mean,0.004776627371782771
speed_10s_avg_col1_median,0.004544185300282655
speed_av2_col4_p10,0.004346700457222399
speed_10s_avg_col1_p90,0.004339248078778919
speed_av2_col1_mean,0.0043186680686903385
speed_av2_col5_median,0.003794606364800132
speed_av2_col3_p90,0.0037440460465418854
stage_6_frames,0.003594291243541879
speed_1s_col1_median,0.0035447855149090255
speed_av2_col4_median,0.0034967768994686563
speed_1s_col2_mean,0.003207659825630485
speed_av2_col6_p10,0.0030934584622260334
speed_av2_col6_p90,0.002937695934312439
speed_10s_avg_col2_mean,0.0029035716220533023
speed_av2_col3_p10,0.002770606073181991
speed_av2_col2_mean,0.002717186930945194
speed_av2_col6_median,0.0027092424351855423
speed_av2_col5_p10,0.0025630848239727912
speed_av2_col3_median,0.0023935770647808895
speed_av2_col5_p90,0.0014697086098388592
speed_1s_col3_median,0.0010811681473915315
speed_10s_avg_col3_median,0.0006484497051042363
roam_p10,0.0
speed_10s_avg_col3_p10,0.0
speed_1s_col3_p90,0.0
speed_1s_col3_p10,0.0
speed_10s_avg_col3_p90,0.0
