worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_5_frames,roam_mean,roam_std_over_mean,roam_early_mean,roam_mid_mean,roam_late_mean,roam_slope,speed_1s_rows,speed_1s_stage2_rows,speed_1s_stage2_col1_mean,speed_1s_stage2_col1_std_over_mean,speed_1s_stage2_col2_mean,speed_1s_stage2_col2_std_over_mean,speed_1s_stage3_rows,speed_1s_stage3_col1_mean,speed_1s_stage3_col1_std_over_mean,speed_1s_stage3_col2_mean,speed_1s_stage3_col2_std_over_mean,speed_1s_stage4_rows,speed_1s_stage4_col1_mean,speed_1s_stage4_col1_std_over_mean,speed_1s_stage4_col2_mean,speed_1s_stage4_col2_std_over_mean,speed_1s_stage5_rows,speed_1s_stage5_col1_mean,speed_1s_stage5_col1_std_over_mean,speed_1s_stage5_col2_mean,speed_1s_stage5_col2_std_over_mean,speed_10s_avg_rows,speed_10s_avg_stage2_rows,speed_10s_avg_stage2_col1_mean,speed_10s_avg_stage2_col1_std_over_mean,speed_10s_avg_stage2_col2_mean,speed_10s_avg_stage2_col2_std_over_mean,speed_10s_avg_stage3_rows,speed_10s_avg_stage3_col1_mean,speed_10s_avg_stage3_col1_std_over_mean,speed_10s_avg_stage3_col2_mean,speed_10s_avg_stage3_col2_std_over_mean,speed_10s_avg_stage4_rows,speed_10s_avg_stage4_col1_mean,speed_10s_avg_stage4_col1_std_over_mean,speed_10s_avg_stage4_col2_mean,speed_10s_avg_stage4_col2_std_over_mean,speed_10s_avg_stage5_rows,speed_10s_avg_stage5_col1_mean,speed_10s_avg_stage5_col1_std_over_mean,speed_10s_avg_stage5_col2_mean,speed_10s_avg_stage5_col2_std_over_mean,days_alive
cam034_w2,34,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,117720,82080,85320,104760,0.1270649891509128,1.4640351823626108,0.1961029731672731,0.0724727917212382,0.112619202564227,-0.0002021442430149,562650,82074,1.210594271515514,1.1179800658249237,59.66111728300292,1.0420517425798697,85314,1.0830174881623675,1.0675360432310668,59.99534224760084,1.049002410440082,104754,1.3913628473769082,1.083291460717306,56.453422591240006,1.1104034681073682,172794,2.6875893494238507,2.1773914879699623,51.29887719018108,1.188373476167678,562650,82074,1.2106098735432336,0.9104353709756868,59.65928132979911,0.560570695853995,85314,1.0830018631011795,0.7326771022208419,59.99694049718331,0.4894894540150334,104754,1.3913647919339405,0.6919432386122696,56.4544911568145,0.4713660822912568,172779,2.687502808731477,1.0046857745820414,51.29744696693731,0.508109604189574,7.0
cam034_w5,34,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,119880,88560,87480,104760,0.1180063822725245,1.526356829771476,0.1695212115655642,0.0929840545992125,0.0915138806527968,-0.0001420949241919,573450,88554,1.2708534739257653,1.052307880826674,57.47373957194459,1.0883309038584168,87474,1.086007434933788,1.0287423641524152,59.93842544007879,1.0424904219514668,104754,1.4132140152506916,1.0962908085424672,58.0236019764716,1.0809157257767783,172794,2.0907837711923194,1.2299967258433226,52.59140980401588,1.1376945777881338,573450,88554,1.2708624130766548,0.8672381600678551,57.47485588396173,0.658558666701412,87474,1.0860034961147689,0.6299925961796158,59.93709420252306,0.4986552583632512,104754,1.4132171304835146,0.7112748397372451,58.02440189163724,0.4812290447110405,172779,2.0908102781047697,0.7554723180722859,52.59075543550968,0.4826974472316012,8.0
cam035_w1,35,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,120960,86400,88560,104760,0.1025106938899942,1.6523779549678284,0.1259389712292938,0.0759384181059118,0.1056546923347769,6.093136740815939e-05,573450,86394,1.2536538355642302,1.0550703322509782,62.61918818158807,1.0330191233441468,88554,1.0591765852053432,1.1019365264049663,65.69570627188388,0.9912168813757176,104754,1.24028846245866,1.0379177744327337,57.24856011706976,1.0900395648397232,172794,2.103101834733779,1.118547807260638,47.75715599373637,1.262544054212301,573450,86394,1.2536938228271712,0.794086978460786,62.61638971538274,0.5620783566967648,88554,1.0591401240813354,0.7590119565573163,65.69982583667112,0.4842508015161526,104754,1.2402894048474196,0.6437040442630112,57.24838965658233,0.5168270692597645,172779,2.10320557452693,0.7481603979573915,47.7515572268407,0.5334791053173829,7.0
cam035_w5,35,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,129600,87480,90720,110160,0.1337965077401318,1.3315448214280383,0.1447451566203317,0.1258237280381623,0.1308206385619014,5.869758459655454e-05,590730,87474,1.2028391653752757,1.049528693168833,60.59429523187936,1.0704448670474758,90714,1.1653761799644562,1.149027678373291,62.66324292539521,1.032452524309789,110154,1.431518127488016,1.0768914764544208,54.715267861099846,1.1445334695600546,172794,2.3221021238990818,1.3039617555498302,48.54773131380931,1.2523921373361382,590730,87474,1.2028370204843497,0.802037983331386,60.59082037273427,0.5815527900629974,90714,1.1653802311837116,0.8386995184151143,62.6648390943355,0.5192633971932131,110154,1.4315214334733677,0.7232250530703276,54.71521726558427,0.551380895035084,172779,2.3212790160461427,0.894420380224152,48.54811928639113,0.5591484584132737,14.0
cam036_w2,36,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,120960,83160,85320,105840,0.1180932514509329,1.4889921099522974,0.1789175302875492,0.0961617211284757,0.0792005029367739,-0.0002600418344129,568050,83154,1.2016339206203943,1.0616973275008206,56.73763778795267,1.122451266859226,85314,1.0591083832861996,1.1539260358487775,60.57678789071656,1.0525023539585556,105834,1.4077539572938715,1.0928105164342412,55.73123851512224,1.1295209417215264,172794,1.7407960600917864,1.2054094553884591,53.71983946424992,1.1574787628882688,568050,83154,1.2016426662511166,0.8467718739628185,56.73937115924471,0.6265678598238571,85314,1.0591066013788626,0.8269781990584081,60.57676055084193,0.5327766791173669,105834,1.4077510051569462,0.7570571630372067,55.73060017591629,0.5576040967221434,172779,1.7408809145451936,0.7720780829951699,53.7174659775275,0.4521042481937122,13.0
cam036_w3,36,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,124200,86400,72360,108000,0.1361614449949647,1.3980845011024765,0.2091513435053191,0.0867230996172218,0.1126098918623531,-0.000264234858411,563730,86394,1.210693679287732,0.9712565182338592,55.10069901857759,1.126857575287945,72354,1.1097922665310556,1.2130594720538344,64.72598321825225,0.995233748222368,107994,1.3420720990453696,1.1068117575067014,57.716846390229634,1.1053924840125613,172794,2.2478595809000708,1.2074734239114735,49.01227605885665,1.2517274674032837,563730,86394,1.2106950749130492,0.7277875649588701,55.1009135076854,0.6627691988222151,72354,1.109798605274206,0.9194221505910964,64.7273045301247,0.5160774734145364,107994,1.342069597030496,0.7229934905896508,57.71666595132889,0.524144292598387,172779,2.247866428435864,0.7943072279536008,49.01267789720458,0.5030298457455229,6.0
cam036_w6,36,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,114480,84240,85320,103680,0.0894194935080707,1.4740287942112875,0.0959519261853605,0.0734510980756122,0.0988554562632393,0.0001054207543616,560490,84234,0.909536255517268,1.0951004912525253,68.98546346439392,0.962746967249222,85314,1.1476096219280227,1.1680471342336625,65.72448368677405,1.0110067814315442,103674,1.2078210361614892,1.1885378640928097,63.005398530001806,1.0266859605864354,172794,2.429623088020132,1.2304232501697072,49.42114992153811,1.2474629856548418,560490,84234,0.9095517593484628,0.7859061949250493,68.98656767034693,0.4830061403502655,85314,1.1475683212334575,0.8379755459679498,65.7273998235334,0.4931981420523651,103674,1.207842117590428,0.7594324589813309,63.00407508811321,0.4299428745158249,172779,2.429683349300744,0.8550488592316191,49.4194835687455,0.5253333004683989,7.0
cam037_w1,37,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,90720,79920,105840,0.0977818027542755,1.5826321137420365,0.1445586526243242,0.0635832373703226,0.0852035182681797,-0.0001063886619689,564810,90714,1.113577810333365,1.1154550991854195,62.80112066105848,1.042153870767942,79914,1.0257662824286855,1.0811885171586693,62.199459676244366,1.0262346088259515,105834,1.2243108021800808,1.023983012509549,60.25023166084995,1.0681076912616705,172794,2.3716133166835545,1.209957220363384,50.184438227118434,1.253712195667972,564810,90714,1.1135833580059575,0.8824721347449183,62.80111695932784,0.5704601717305767,79914,1.0257671052436084,0.7200011353146278,62.19874472988245,0.4766314409323169,105834,1.2243126472463224,0.592690762581635,60.25055401237474,0.4408552534489536,172779,2.371401044600032,0.7554520166353358,50.18632409615181,0.5039932297224391,5.0
cam037_w2,37,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,81000,87480,103680,0.0998673683028109,1.5754437615971788,0.1492484720099178,0.0486410743858769,0.1017125585126379,-3.012209726774143e-05,560490,80994,1.177177315803746,1.0777662436415023,56.84863640304409,1.104176741194531,87474,0.9356097336856686,1.1570756816768015,65.39463249860293,0.9803330391527554,103674,1.2482215144055466,1.125708251531678,61.314389218807776,1.0455027181779832,172794,2.576583840797382,1.2245285196548663,52.65324892641406,1.2039664798613736,560490,80994,1.1771553328240836,0.8522258118834456,56.85242522550753,0.6011342506667617,87474,0.9356120884522856,0.754069614158669,65.39486610038082,0.4562662156368646,103674,1.2482548284192492,0.7087083341781409,61.31287934366848,0.4372600491579363,172779,2.5764814184093234,0.8769895756903907,52.65630945650016,0.4815858692985176,13.0
cam037_w3,37,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,116640,86400,85320,111240,0.1044327241434912,1.6588727872884057,0.1767842067842067,0.0341043108789209,0.1024096547673458,-0.000168747225802,572370,86394,1.0725954798581414,1.137437335679769,64.16724585530521,1.0101375510225714,85314,0.8713706619711972,1.0627618517832655,65.49457109459547,0.9781072117885694,111234,1.2562724339191216,1.1255836231766083,62.082716585976335,1.0389015456217985,172794,2.516514652332797,1.1613441459476268,49.20212277711839,1.2467489992349003,572370,86394,1.0725991559752004,0.9210027904580784,64.16743479698935,0.5708343475069334,85314,0.8713840468741911,0.6049527308524927,65.48871613021274,0.4307428894665598,111234,1.256279745322229,0.705359799402275,62.08552103646306,0.4794700013586528,172779,2.516509961237616,0.7902996036766315,49.204101327203695,0.4927809573876784,13.0
