worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_5_frames,roam_mean,roam_std,roam_median,roam_p10,roam_p90,roam_early_mean,roam_mid_mean,roam_late_mean,roam_slope,speed_1s_rows,speed_1s_col1_mean,speed_1s_col1_std,speed_1s_col1_median,speed_1s_col1_p10,speed_1s_col1_p90,speed_1s_col2_mean,speed_1s_col2_std,speed_1s_col2_median,speed_1s_col2_p10,speed_1s_col2_p90,speed_1s_col3_mean,speed_1s_col3_std,speed_1s_col3_median,speed_1s_col3_p10,speed_1s_col3_p90,speed_10s_avg_rows,speed_10s_avg_col1_mean,speed_10s_avg_col1_std,speed_10s_avg_col1_median,speed_10s_avg_col1_p10,speed_10s_avg_col1_p90,speed_10s_avg_col2_mean,speed_10s_avg_col2_std,speed_10s_avg_col2_median,speed_10s_avg_col2_p10,speed_10s_avg_col2_p90,speed_10s_avg_col3_mean,speed_10s_avg_col3_std,speed_10s_avg_col3_median,speed_10s_avg_col3_p10,speed_10s_avg_col3_p90,days_alive
cam034_w2,34,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,117720,82080,85320,104760,0.1270649891509128,0.1860276145634598,0.038391224862888484,0.0,0.4055158403836874,0.19610297316727315,0.07247279172123823,0.11261920256422708,-0.00020214424301497776,562650,1.579631239217726,3.478047480757775,0.8092926796344619,0.15918745209159021,3.799050409654074,57.69822170975823,61.972566320913295,24.29734911233919,2.78932297055072,164.60634759197063,3.2360970407891227,1.5302262027509148,3.0,1.0,5.0,562650,1.5795220557842082,1.8211033325206598,1.0537732436712695,0.3345602387938152,3.281954316534398,57.69538687108409,29.043231251274022,55.355240201927,20.08532839461463,99.48111151436876,3.2359370834444148,1.5303379798218173,3.0,1.0,5.0,8.0
cam034_w5,34,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,119880,88560,87480,104760,0.11800638227252457,0.1801198475382915,0.041927409261576974,0.0,0.3337308347529813,0.16952121156556427,0.09298405459921259,0.0915138806527968,-0.00014209492419193243,573450,1.379455080931292,1.8034049460818689,0.7431368300905312,0.15827555651046882,3.3992237435439843,60.00839013722314,62.015177473287736,27.869286682526887,2.9477045717779973,164.4459517554598,3.21281715929898,1.5275011400922385,3.0,1.0,5.0,573450,1.3793907677082866,1.226784887039055,1.0297342196269943,0.32671310460762765,2.8233030144195994,60.00457126406421,30.158948660111857,57.824745699811835,20.452871406374197,103.71166957887351,3.2126602144912373,1.52760861614724,3.0,1.0,5.0,8.0
cam035_w1,35,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,120960,86400,88560,104760,0.10251069388999423,0.16938641073228172,0.027966101694915254,0.0,0.3441617974384404,0.12593897122929382,0.07593841810591187,0.10565469233477698,6.093136740815939e-05,573450,1.363403180669523,1.6705397942850402,0.7688484724693448,0.17095074175406286,3.2743851931029293,61.79282769571852,63.62670365826387,28.389114872543125,2.7613693361871916,166.78382571957786,3.21281715929898,1.5287335962714075,3.0,1.0,5.0,573450,1.3633672431468653,1.1852732035513056,0.9978465202805162,0.3987339811820182,2.754131394755463,61.78709847352463,31.624699914598033,58.95241167408852,21.100933081197287,108.0826734475023,3.2126602144912373,1.5288409856859244,3.0,1.0,5.0,14.0
cam035_w5,35,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,129600,87480,90720,110160,0.13379650774013185,0.17815604700652904,0.04978540772532189,0.0,0.39673024523160777,0.14474515662033177,0.12582372803816233,0.13082063856190143,5.869758459655454e-05,590730,1.4481007748087447,2.0308795650926115,0.7371768019176698,0.15088838948838784,3.550853824185552,60.021424658584245,63.635986527197616,25.490357788830934,2.40318297244519,166.62116437509758,3.184652887105784,1.532320726983741,3.0,1.0,5.0,590730,1.4477898073112219,1.4779941854440906,0.984784095567186,0.3350136483058542,3.063942146519232,60.01799828962856,32.83514368090976,57.382971950048244,15.452586413141296,107.58428821247998,3.1845005332385354,1.5324219312602063,3.0,1.0,5.0,13.0
cam036_w2,36,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,120960,83160,85320,105840,0.11809325145093298,0.1758399196490519,0.03518029903254178,0.0,0.39168880455407973,0.17891753028754928,0.09616172112847576,0.07920050293677394,-0.00026004183441295423,568050,1.2685400673408265,1.5784677925199304,0.6869857222221745,0.13349018284826222,3.16002950602396,59.47701426519115,63.26375373337404,25.05060351591252,2.660177738667467,166.21959797701427,3.2224452072880907,1.5335188291339286,3.0,1.0,5.0,568050,1.268501487604535,1.107629720140338,0.9441998182240301,0.2931490209793948,2.64486077089273,59.47388551668221,30.411063087243832,56.54658128119716,21.07952051667049,103.86959961985563,3.222286770530763,1.5336278956979597,3.0,1.0,5.0,8.0
cam036_w3,36,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,124200,86400,72360,108000,0.13616144499496471,0.19036520589517755,0.04950065132435953,0.0,0.42606429192006967,0.20915134350531914,0.0867230996172218,0.11260989186235315,-0.00026423485841107564,563730,1.436507757431522,1.8841971621782685,0.7789401431816949,0.14995368988953414,3.4815182027936378,57.099345889807374,62.619216038672235,22.65568128786351,2.5995061849157355,165.8604586135515,3.2107391836517483,1.5516830655597222,3.0,1.0,5.0,563730,1.4364314963039266,1.3337183747598196,1.024346678780148,0.3221781186974292,3.0387618514362273,57.095839738369364,30.25885001778615,53.8365743799987,18.626090848002992,101.88118641988628,3.2105795327550424,1.5517904770565947,3.0,1.0,5.0,10.0
cam036_w6,36,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,114480,84240,85320,103680,0.08941949350807071,0.13180690819468555,0.02604920405209841,0.0,0.2623534520191057,0.09595192618536057,0.07345109807561223,0.09885545626323936,0.0001054207543616279,560490,1.415335652630826,2.0310140768455605,0.6867270833037551,0.14156488716966914,3.4971659593903412,62.614654286406854,64.56029856870003,27.91763704494369,2.7388302912334717,168.05196757427808,3.2427875608842265,1.525264331533555,3.0,1.0,5.0,560490,1.4152481147834766,1.490571835231697,0.9400488979626458,0.33409429300905336,2.9518479664103947,62.61213803373603,30.238466453819576,60.052024485225466,23.975522235094385,106.37963473535147,3.242626987100573,1.5253776086175739,3.0,1.0,5.0,7.0
cam037_w1,37,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,90720,79920,105840,0.09778180275427553,0.15475262117850597,0.02922077922077922,0.0,0.28625565995864743,0.14455865262432424,0.06358323737032269,0.08520351826817972,-0.0001063886619689141,564810,1.4183650993863992,1.936167762974807,0.7600686414703761,0.15837940765354555,3.437386295108668,60.77638035299293,64.02579589979909,25.990052535434,2.617927616804056,167.41308695477392,3.229457693737717,1.528864691900067,3.0,1.0,5.0,564810,1.4182089709990942,1.3342530627198876,1.022905306056853,0.3486609162712831,2.9291396193830406,60.775052278394554,29.94190823169836,58.075541900849544,22.70003906166937,104.03660489383759,3.229298348117066,1.528975448769313,3.0,1.0,5.0,3.0
cam037_w2,37,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,115560,81000,87480,103680,0.0998673683028109,0.15733542237979126,0.030583873957367932,0.0,0.29193037605209343,0.1492484720099178,0.048641074385876934,0.10171255851263797,-3.012209726774143e-05,560490,1.4740692598943892,2.1232905612727437,0.71592254582267,0.14505511085579834,3.6509887890367034,60.89079733393759,63.64520938000518,26.729941344726203,2.796131228377296,167.08455427625074,3.2447144462880693,1.5255880197321878,3.0,1.0,5.0,560490,1.4739641882419092,1.5969761162449323,0.9593219087139067,0.3260955131736704,3.1618553353522,60.88713976198008,28.79643040861493,58.80557171814436,24.002264272857087,101.21901801779207,3.2445538725044156,1.5257014755804317,3.0,1.0,5.0,11.0
cam037_w3,37,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,116640,86400,85320,111240,0.1044327241434912,0.17324060418403442,0.03796653796653797,0.0,0.2952529233684249,0.17678420678420678,0.034104310878920935,0.10240965476734588,-0.00016874722580203415,572370,1.4430114149793543,1.9888144187153538,0.7261945483022734,0.14886569383251694,3.573379742431297,60.620381035616504,63.59693871502125,26.418678907480924,2.7529240877620085,166.95213675296506,3.239635201006342,1.5200390728555115,3.0,1.0,5.0,572370,1.4429198371058194,1.4561458745625073,0.9834393633157534,0.3239201608964016,3.089246008480056,60.618321639303204,30.21958375060266,57.98546788818847,22.04580069969765,104.41904007419468,3.2394779600607997,1.520150054256645,3.0,1.0,5.0,7.0
cam228_w1,228,1,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,133920,83160,85320,102600,0.061352111447289276,0.12473761581607859,0.0036319612590799033,0.0,0.18965899919289764,0.08563667761256945,0.04736350170307369,0.05105615502622469,-6.360263590330239e-05,577770,1.5570482548831803,1.8784382027049584,0.9568893619233192,0.08295193401738518,3.627687209922809,76.84864177503344,63.684382233986895,63.72475949953297,0.39461405429979274,167.82122842694693,3.1682330339062257,1.5545354798743127,3.0,1.0,5.0,577770,1.5569823606847333,1.3324980983119428,1.202582740777741,0.5353377656278686,3.0620412124646212,76.84408258223739,38.29731190723396,80.97382764394172,16.06488569473896,123.531517301585,3.1680772625785347,1.5546358302087804,3.0,1.0,5.0,11.0
cam228_w2,228,2,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,119880,78840,76680,102600,0.04284850964857569,0.09414146051325152,0.0,0.0,0.12158054711246205,0.06383103082153384,0.025370593462451515,0.03934390466174174,-0.00010076263310937384,550770,1.4154453505764906,1.4890802746420957,0.9606605306716611,0.31678261733989205,3.016300161433678,85.04484185133062,61.111484998543546,81.10775714489952,7.2399111820841915,168.38553463108508,3.235306933928863,1.5490504787688912,4.0,1.0,5.0,550770,1.415401927393593,0.9845270210026664,1.138318494811604,0.6931759254425194,2.433903436672159,85.04109885067177,31.270816014431325,87.7243387688701,42.16448533418826,123.92619529364178,3.235143526335857,1.5491631957091596,3.0,1.0,5.0,10.0
cam228_w3,228,3,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,146880,82080,81000,105840,0.047006220480645726,0.09848421783834356,0.0,0.0,0.1612137803676901,0.05781217247860874,0.01846032143710236,0.06474616752622607,2.7551688621793825e-05,588570,1.4624126357677245,1.8008502017983914,0.9487658289600972,0.23789695298902605,3.195289981710136,82.36814486240172,62.681011593093764,75.68863453786602,3.7971276032638825,168.73644293515372,3.1284469137061013,1.5732989462472595,3.0,1.0,5.0,588570,1.4623639047064927,1.2356694350836084,1.1294115890091545,0.6404974249942692,2.6539528210708934,82.36217468384523,35.59662193037125,85.98385894039035,31.83440999154217,126.10393691982783,3.128294000713594,1.5733924139488442,3.0,1.0,5.0,7.0
